logv,outcome
1.4002535925612847, 0.7216494845360835
1.4678782755705833, 0.7216494845360835
1.4881656804733727, 1.1855670103092795
1.5574809805579035, 1.1597938144329891
1.577768385460693, 1.9329896907216497
1.647083685545224, 1.9072164948453612
1.665680473372781, 3.118556701030929
1.7333051563820794, 3.092783505154639
1.7535925612848688, 4.020618556701031
1.8229078613693996, 4.020618556701031
1.8431952662721893, 4.922680412371134
1.9125105663567201, 4.922680412371134
1.9311073541842771, 7.139175257731958
1.9987320371935755, 7.139175257731958
2.019019442096365, 7.680412371134021
2.088334742180896, 7.680412371134021
2.106931530008453, 9.22680412371134
2.1762468300929836, 9.25257731958763
2.1965342349957733, 11.649484536082474
2.2641589180050716, 11.675257731958762
2.2844463229078613, 10.309278350515463
2.3520710059171597, 10.309278350515463
2.3740490278951816, 9.355670103092784
2.44167371090448, 9.329896907216494
2.4619611158072696, 8.453608247422679
2.529585798816568, 8.453608247422679
2.55156382079459, 6.185567010309278
2.6191885038038882, 6.159793814432989
2.639475908706678, 4.43298969072165
2.7087912087912085, 4.43298969072165
2.7273879966187655, 2.8865979381443303
2.795012679628064, 2.8865979381443303
2.816990701606086, 2.2164948453608257
2.884615384615384, 2.1907216494845354
2.9049027895181743, 0.8505154639175263
2.9725274725274726, 0.8505154639175263
2.992814877430262, 0.5927835051546388
3.062130177514793, 0.5927835051546388
3.0807269653423495, 0.2319587628865989
3.1500422654268805, 0.2319587628865989
3.1703296703296697, 0
3.2379543533389685, 0
3.2616229923922226, 0
3.325866441251056, 0
3.3478444632290785, 0
3.4137785291631446, 0
3.4357565511411665, 0
3.503381234150465, 0
3.5270498732037194, 0
3.5896027049873203, 0
