M1,M2,t_merger,Merger,Type,GW-kick-random,GW-kick-aligned
4208366477.272727,1529161931.8181818,3747780993.10605,Yes,iso,2344.2368291567363,170.73107677753032
107630113636.36365,5203394886.363636,6741411765.054539,Yes,iso,84.78497845802622,32.98681671468756
24260085227.272728,3281377840.9090915,12780312981.629915,Yes,iso,359.2141943684447,67.30079942389186
7771988636.363637,3401264204.5454545,4478002480.300879,Yes,iso,1164.3191540084256,307.2839591612181
12322670454.545454,3571178977.2727275,1942949101.8178108,Yes,iso,354.33351555464594,201.50836439889554
96668607954.54546,2194573863.636364,11810918074.442772,Yes,iso,23.676389931208966,8.14854628817538
19107812500.0,6788948863.636364,4536216256.63898,Yes,iso,422.5274673529627,280.9353435285445
30263352272.727276,2181775568.181818,6680478710.3838415,Yes,iso,95.19703779146995,27.096366577974763
45954261363.63636,3301434659.090909,9830889582.726324,Yes,iso,51.55762133945191,43.457502767512224
6511988636.363636,2710710227.272727,8790254186.01106,Yes,iso,577.3813090763648,120.55182282807323
2486789772.7272725,2006732954.5454545,9255611707.80797,Yes,iso,3504.828868610887,513.067987445403
1755553977.272727,1353400568.181818,1950496058.6576004,Yes,iso,1264.6532634995558,190.51694147863424
135019460227.27274,4863409090.909091,3250419777.144019,Yes,iso,44.98487203964472,22.347262376859117
38988920454.545456,1128899147.7272727,6961180771.911599,Yes,iso,10.547488831143658,13.276576537261386
72504261363.63637,19023011363.636364,4704203230.4635315,Yes,iso,778.6117662138456,254.91660322841417
33497159090.909092,1640809659.090909,6871132786.4589405,Yes,iso,54.51282231113529,38.39530067400924
2295397727.272727,1027258522.7272726,5070145123.866241,Yes,iso,1641.2490795660767,215.4750880854746
32253977272.727276,18285937500.0,6046529747.937851,Yes,iso,569.6283705675687,244.03989095198023
6591250000.0,1026406250.0,2130633396.6235871,Yes,iso,610.7524337873228,66.06138512974361
13740426136.363638,4198579545.4545455,11636971236.673426,Yes,iso,1977.3532211724012,175.85411677102826
12001519886.363638,2159332386.3636365,7572705732.976303,Yes,iso,633.9357924917423,255.98077059728763
52941193181.818184,6838224431.818182,6844240726.171181,Yes,iso,64.89716353739233,80.24799977957487
10071974431.818182,6157173295.454545,3082904214.4825644,Yes,iso,560.7491331014263,83.21001059115508
9992088068.18182,3982315340.909091,2602454524.134317,Yes,iso,254.9356196966498,376.6641681704638
8642457386.363636,2954176136.363637,9900901225.899302,Yes,iso,460.1093269770273,107.81170945130327
200136363636.36365,1264765625.0,5745423150.234979,Yes,iso,0.6437065516068281,0.30479696937793427
12763053977.272726,1934318181.818182,9147476605.275528,Yes,iso,515.1569735350168,66.0663960448061
4805951704.545455,3658252840.909091,1987414715.9952312,Yes,iso,426.66545114277477,122.86935903665146
6706335227.272728,3150894886.363637,8381466220.583057,Yes,iso,877.4447813724345,364.2401695477831
2106420454.5454547,1064430397.7272726,4888856010.66874,Yes,iso,484.4388883880013,264.3837349373391
100215909090.90907,2837201704.5454545,4041669458.644496,Yes,iso,10.414378471741017,12.690947486869648
8429034090.909091,4343494318.181818,2037037528.427024,Yes,iso,179.1201448199838,154.41706461266216
28137642045.454544,2102187500.0,4404565332.7022505,Yes,iso,65.80771135758347,87.32449914834886
1837343750.0,1311703125.0,6585512581.695529,Yes,iso,1611.9476693570184,79.35204024989571
34563636363.63637,28602840909.09091,10894220014.004553,Yes,iso,1543.857088608692,78.21863380106046
48270596590.90909,19624289772.727272,5503589238.847689,Yes,iso,1672.105334886671,219.16706337799368
19922443181.818184,15447869318.181818,2596861699.882187,Yes,iso,1801.1322982633758,133.66617780811063
722691761363.6364,45977840909.090904,5681479356.246444,Yes,iso,57.74427494211334,20.127156932990736
5555014204.545454,2632428977.272727,13764603513.520796,Yes,iso,1024.9661527557569,199.0199070394819
5159630681.818182,2298352272.727273,2044933834.55758,Yes,iso,556.8291429693159,447.8233000705841
11038380681.818182,10301051136.363636,4728983209.920691,Yes,iso,1640.5133881865447,339.35664088119535
85736363636.36365,12283806818.181818,5459189911.702912,Yes,iso,310.51235622233304,146.75414112930662
8082656250.0,3175525568.1818185,3877167235.843857,Yes,iso,725.7040632175706,231.20734766290042
1588536931.8181818,1175217329.5454545,2047496085.2852705,Yes,iso,971.1080925996063,121.30483040411346
38482244318.181816,4523920454.545455,7939669745.180401,Yes,iso,383.1677746895961,53.053579840485504
100413068181.8182,3115099431.818182,12719180725.051653,Yes,iso,16.07320003350324,12.281538693172147
24748721590.909092,1425213068.1818182,2810218852.23649,Yes,iso,25.460059588269463,33.67088876231661
70940625000.0,4194147727.272728,12415211566.961649,Yes,iso,99.33501747422031,19.329436573528643
8511974431.818182,2420553977.272727,7997743224.675006,Yes,iso,523.9852963298835,167.76105208597036
2317528409090.909,8316122159.09091,9219090966.430738,Yes,iso,0.2716011408577406,0.23951868397072712
9487727272.727274,2609531250.0,6281937249.290649,Yes,iso,581.7675664458426,117.55796607366666
78090625000.0,19128977272.727276,8228234595.64443,Yes,iso,361.5095439754768,129.41591151610953
85934943181.81818,4571818181.818182,2415031823.1657443,Yes,iso,138.97030118973944,42.00981807888538
52275000000.0,30634517045.454544,2448398056.4590306,Yes,iso,975.4438441217579,95.91357330068485
4289446022.727273,3738792613.636364,5317900507.058025,Yes,iso,329.517786223691,200.6010771001724
1541576704.5454547,1373348011.3636365,2072009580.1714556,Yes,iso,903.0850710686775,425.606011771486
437802556818.1818,14209801136.363636,5166203323.591786,Yes,iso,64.60634720341542,8.061898289501153
22574573863.636364,5163764204.545455,7782523822.536707,Yes,iso,459.2283720485131,189.8487644204771
4415596590.909092,3234517045.4545455,2110828894.2618015,Yes,iso,248.75434390683577,65.0011574566985
8046732954.545454,5963167613.636364,2397863939.1988783,Yes,iso,407.18008908099335,56.691650825712195
8689502840.90909,1101352272.7272727,9087324448.315365,Yes,iso,307.5383566101227,95.71179743203727
5708423295.454547,2566931818.1818185,2524696782.955561,Yes,iso,401.0072144029724,161.4843373401085
577776988636.3638,12015213068.181818,9473390931.26826,Yes,iso,4.831447855342824,3.042587340148452
5860653409.09091,2864573863.636364,2087623759.5605457,Yes,iso,383.0810425525836,95.38631330440681
1433735795.4545455,1067863636.3636364,2135403744.658295,Yes,iso,1075.4438583676806,243.58113562852012
155703125000.00003,1848863636.3636365,9440988706.857529,Yes,iso,5.344096203835583,1.3165416373044638
3022017045.454545,2557230113.636364,7013626476.236152,Yes,iso,217.25672114573538,193.21063554258467
21206676136.363636,14314772727.272728,2960202371.0714316,Yes,iso,1084.6486231042115,63.70649975299703
2376136363.636364,1811761363.6363635,5677471574.992676,Yes,iso,506.87507310262134,267.3491168107217
60679261363.63636,25026988636.363636,8452635050.558658,Yes,iso,459.4727602988973,182.55450062034788
37810227272.72727,1190502840.909091,7704704142.114795,Yes,iso,37.844534103057846,10.019508401490013
369338068181.81824,3978750000.0,9623989955.468409,Yes,iso,0.8948884516472893,2.9153144918549727
68943607954.54546,1974517045.4545455,11234177598.489006,Yes,iso,8.612612138325701,6.101968448318325
39064204545.454544,1119322443.1818182,10741239178.08769,Yes,iso,8.838829966675034,15.129100295814482
5264133522.727273,1178987215.909091,2187902668.749424,Yes,iso,539.1771595732096,113.79868997028342
3589730113.636364,1961718750.0,3764172317.2944527,Yes,iso,424.4811429675974,186.68642038781536
86638920454.54546,10526150568.181818,6440346953.524043,Yes,iso,401.8283314111724,119.30799708812525
7993707386.363637,6903082386.363636,7334116004.705101,Yes,iso,2144.3386924664123,192.0048216937563
57032954545.454544,48141903409.090904,2701004854.0043936,Yes,iso,1056.178187512012,34.83834939594811
592545454545.4546,9629332386.363638,7127380617.644198,Yes,iso,12.195880329697156,2.360349471801235
2423934659.0909095,1886448863.6363635,2264914678.8229985,Yes,iso,692.3856855562598,308.96883665401754
6123934659.090909,1659900568.181818,3959276117.979973,Yes,iso,951.3192674247963,151.86692327971627
2843053977.2727275,1814786931.818182,2858467663.9219646,Yes,iso,961.5302499853336,81.98965404264638
4739758522.727272,4336761363.636364,2167653976.174837,Yes,iso,1456.8982266712512,47.70032449180142
1459957386.3636365,1336558238.6363635,2790580323.212586,Yes,iso,435.2026525211092,125.19912092974732
37510227272.72727,4059744318.1818185,9006644574.436577,Yes,iso,236.61924444633928,93.90139169748329
5276519886.363636,2823167613.6363635,6096267881.825383,Yes,iso,886.6909522187023,223.47269030636053
2506264204.5454545,1977357954.5454547,2162482422.6473446,Yes,iso,659.1837699672557,176.98403309495598
5141803977.272727,3869076704.5454545,6289827317.001097,Yes,iso,432.7968946934076,323.557265653035
1335859375.0,1027350852.2727274,2177139177.3950825,Yes,iso,121.03828934308075,166.39403653504988
2039602272.7272727,1547684659.090909,2246632224.531264,Yes,iso,1021.1283057449875,56.538163577053695
33975284090.909092,1471235795.4545455,5198508909.8932085,Yes,iso,18.93675032982581,32.5831813372202
8484303977.272727,3395440340.9090915,6893183878.154053,Yes,iso,331.9140119505653,104.34230272921137
294066761363.6364,1878607954.5454545,9719175497.74834,Yes,iso,1.5254805912030547,0.49142426088311164
2590170454.545455,1851505681.8181815,2177949210.875425,Yes,iso,636.1325511429916,304.2179974276684
2982585227.2727275,1119214488.6363635,2180753809.472538,Yes,iso,885.3115247276764,133.8532687983462
17120738636.363638,2370170454.545455,2455085048.1223383,Yes,iso,184.17680358104866,170.913505420937
5655482954.545455,1359144886.3636365,2191523970.4881315,Yes,iso,151.04057793255205,204.35937432041484
455274147727.2727,1003167613.6363636,7389759630.419426,Yes,iso,0.07686223823417496,0.11918400788963716
23832670454.545456,4965411931.818182,12012424912.97928,Yes,iso,1254.1593758013357,158.49656360723358
17152698863.636362,7294389204.545455,6449693704.901823,Yes,iso,694.97522275669,389.37168545644255
5652244318.181819,3649730113.636364,5809338529.536551,Yes,iso,218.36979560370065,236.019902051791
16350142045.454548,2454360795.454546,4601204046.821935,Yes,iso,312.77774877053486,99.61660161460811
18683806818.181816,1360471590.909091,2519123577.1505013,Yes,iso,56.227614889255456,36.287128107230664
6901548295.454546,5627585227.272728,3524216745.6441884,Yes,iso,1221.5830038853674,177.8875457620114
2548039772727.273,13250923295.454546,9677984485.09135,Yes,iso,2.627479911296441,0.22201961817017785
6028664772.727273,3890269886.363637,2227805133.4033623,Yes,iso,712.1299877376257,69.68348516732603
45680823863.63637,16969886363.636366,2756343682.512147,Yes,iso,1367.3335921601545,260.8329827213105
67828835227.27273,6798892045.454546,8113967834.323166,Yes,iso,43.967817840401366,46.59310623409198
3073338068.181818,1744886363.636364,2247824044.625975,Yes,iso,208.88344200620926,102.81457966754287
9346931818.181818,1380666193.1818182,6039963095.411866,Yes,iso,273.8810335228501,181.72699203099864
13114801136.363636,8305980113.636364,2760536776.6723247,Yes,iso,906.2983359383397,240.02141079211546
368663352272.7272,4462144886.363637,6922935504.696993,Yes,iso,1.700525864916468,1.071245904780814
3123906250.0,2487585227.2727275,9329924875.198198,Yes,iso,1094.8842297589565,208.82572640797076
1909872159.0909092,1213934659.090909,3832983693.60794,Yes,iso,206.7139925612477,198.99680363314482
10142883522.727272,7268551136.363637,4948759818.86414,Yes,iso,597.377395789728,75.15989721738973
36650994318.18182,5713096590.909091,5547382136.781189,Yes,iso,165.31403853582756,69.92657987085664
90903977272.72726,26091193181.818184,2794899883.6172976,Yes,iso,1092.3772275389456,102.33654017181215
290423295454.5455,65132102272.72727,7254042425.147622,Yes,iso,138.9374878168833,223.86088522746104
34753409090.909096,15091193181.81818,3224995607.932352,Yes,iso,251.94031368238245,111.46753458160174
469315340909.09094,18364488636.363636,9090155500.994171,Yes,iso,59.398400992717136,25.21477798425401
240098011363.63635,1471051136.3636365,5724455744.834347,Yes,iso,0.5251222485375612,0.6515117608140002
6604744318.181819,4629090909.090909,7332820610.103777,Yes,iso,286.1572574569159,370.9826682855103
11705028409.09091,3110269886.3636365,3241915383.875513,Yes,iso,910.3077239242377,99.2713366409605
11090696022.727274,9711718750.0,2459071062.753803,Yes,iso,2811.9135504302826,374.98879668811935
57799573863.63636,2902301136.3636365,2712025461.0129895,Yes,iso,44.64493166109555,45.97946790096955
45678977272.72727,2214446022.7272725,7304571478.430122,Yes,iso,28.5644088553539,19.5956276018185
2429531250.0,2428096590.909091,3780557213.1435018,Yes,iso,568.6219600355286,272.4491115439295
400575284090.90906,6436960227.272728,3791983473.870159,Yes,iso,5.246013036151986,4.665201738183112
125505965909.09093,88205397727.27274,2910869315.7269917,Yes,iso,473.6834940643478,126.02285878916054
6167698863.636364,1333678977.2727273,2269670140.4402266,Yes,iso,570.8960946871248,99.89840584837215
26803551136.363636,3310497159.090909,13518363260.03863,Yes,iso,345.4809906962982,88.14836936059416
507768465909.0909,1642684659.090909,7143114655.416599,Yes,iso,0.42190847805264786,0.09166465352298424
6603196022.727273,1082542613.6363635,7485347739.229319,Yes,iso,569.9088072810273,116.1146593458768
10879744318.18182,8883281250.0,3006007696.784963,Yes,iso,2409.608942685058,209.90322179568685
53604545454.54546,5276136363.636364,9266196936.99913,Yes,iso,105.02587175167929,47.63334148495902
21989630681.81818,5988494318.181818,2465228538.766448,Yes,iso,1323.111540149712,221.4220723021151
44281107954.54545,36490909090.90909,3604733907.667835,Yes,iso,1772.2492146587203,493.36650177743763
7565582386.363636,6380369318.181818,5925770878.520883,Yes,iso,672.4709633222866,204.0729648997649
62924005681.818184,4174744318.1818185,10267391131.143633,Yes,iso,122.14768834886353,38.40883988518939
5327670454.545455,1410720170.4545455,9890099845.315887,Yes,iso,1802.8222155674557,100.59141465775046
12986306818.18182,4818650568.181818,9644405506.070229,Yes,iso,319.9225773139105,339.8155819912182
2983039772.7272725,2326292613.636364,2366599975.5315595,Yes,iso,672.9849374913208,197.60045835041262
2193267045.4545455,1562329545.4545455,2302033517.61897,Yes,iso,1123.344538272046,71.01015537252432
4993934659.090909,3575866477.272727,3605712481.402032,Yes,iso,593.2176906515764,207.41741012472892
41780681818.18182,22421448863.636364,8489175463.20033,Yes,iso,685.6337942038647,107.98923791682921
170991477272.72726,102751846590.90907,6240000880.704928,Yes,iso,400.0235158579255,115.1806880352386
3995426136.363637,2151065340.909091,2757330286.1136823,Yes,iso,1419.5451586315908,108.99151898339424
3788764204.5454545,1532457386.3636365,2327133038.9127502,Yes,iso,234.13341693998768,117.31319153689473
547968750000.0,18357244318.18182,10560874508.273909,Yes,iso,15.666845809200314,18.810885535640388
9746292613.636364,1258117897.7272727,12748074563.941889,Yes,iso,136.1985847017481,94.85920353072906
6018394886.363636,1071042613.6363636,2440480774.8984942,Yes,iso,232.6873179452661,135.66883130610483
31588068181.818184,10538167613.636364,3438344064.765502,Yes,iso,423.53810391954414,149.0231817940218
4566250000.0,3763011363.636365,2621660993.4240727,Yes,iso,233.42118507218194,254.66948847988328
22219318181.81818,1517741477.2727275,9938859558.484953,Yes,iso,54.30511916899348,38.615040304962136
5467372159.09091,2186534090.909091,4064912892.909972,Yes,iso,210.77953975194518,197.13356685443694
4327400568.181818,1001387784.0909092,2980393520.2531476,Yes,iso,257.84763841382744,250.33279076274593
1717443181.818182,1400992897.7272727,2339626512.818831,Yes,iso,162.5448105715906,219.72641160159955
326313920454.5455,318688920454.5455,11360163717.290262,Yes,iso,847.5575644813139,94.7251324570614
14800000000.000002,9816860795.454546,2938596517.1509795,Yes,iso,209.63693890348247,129.4665209070753
65066193181.818184,2678948863.6363635,3484502772.6007423,Yes,iso,60.971944145173225,11.201780646866705
4846647727.272727,3923437500.0,5388445919.394988,Yes,iso,362.5235184492945,483.6303075420132
67993039772.72727,1102556818.1818185,4955762227.6082735,Yes,iso,6.020570721787368,4.088453033759336
13325184659.09091,5702187500.0,9404968214.161932,Yes,iso,1094.9746914237999,251.19759617984008
19615625000.0,14108338068.18182,2802271314.479341,Yes,iso,2064.4837344353673,402.9087720230454
2397840909.090909,1566250000.0000002,8460135080.137756,Yes,iso,1022.7820239958126,78.77069765742601
778551136363.6364,3243565340.909091,12958128907.700628,Yes,iso,0.23691137226330009,0.188779464660229
7608082386.363637,2058125000.0,2357860927.8415265,Yes,iso,327.5622864854962,107.602515454241
6921875000.000001,4796761363.636364,3742300617.374583,Yes,iso,627.2211735853114,179.1717350231531
39375710227.27273,5238693181.818181,4242949575.833875,Yes,iso,178.2123433123789,102.63337910174707
25638068181.818184,4731903409.090909,3653220781.84993,Yes,iso,193.48797402877184,99.50402731294604
47846164772.72727,31584090909.09091,2870384193.2084417,Yes,iso,2199.763868723529,375.64365832547924
44985795454.545456,4213522727.272727,5395043944.191502,Yes,iso,326.7955874084237,36.31253937710232
26180397727.272728,14885937500.000002,2617912964.9661436,Yes,iso,751.6068067415306,318.7499851424804
66461505681.818184,11329375000.0,5366343287.154542,Yes,iso,254.97000815469661,115.94387401907683
38314488636.36364,16831818181.818182,2885232890.4355955,Yes,iso,531.0923789192468,323.8983232544623
2998565340.909091,2680994318.181818,2398308070.6954517,Yes,iso,791.0501057602743,76.53923076385136
2103977272.7272727,2090568181.818182,13680190437.395191,Yes,iso,347.35636690211675,167.51102583922972
2674900568.1818185,1512514204.5454545,2383260465.84262,Yes,iso,173.02038778686637,192.18247773171333
5615610795.454545,2156732954.5454545,2393303295.6275005,Yes,iso,1384.8144160606448,109.79568672827784
4669119318.181819,1841136363.6363635,5845388394.331183,Yes,iso,264.156625797882,276.5281405616243
14218323863.636364,6562159090.909091,4476072479.08801,Yes,iso,466.0411183596622,152.20833066272164
3966079545.4545455,1479545454.5454547,2401859934.363397,Yes,iso,555.9036763133619,118.61158092912703
2873465909.090909,1706519886.3636365,7817156188.910654,Yes,iso,108.18236575032302,91.98238110971245
5849957386.363637,2663650568.1818185,2421332398.8419433,Yes,iso,229.64780367116015,238.06604985825197
35939488636.36364,2284375000.0,9729285508.939548,Yes,iso,156.37301846383093,24.9574561133183
3918125000.0,1762727272.7272727,4157674247.3309846,Yes,iso,441.16162781941546,251.68591346871347
