M1,M2,qin,t_merger,z_merger,gw_kick_random,gw_kick_5deg,gw_kick_hybrid,merger_flag,bhid1,bhid2,f-gas,Vescape
2260508.0934258495,1628522.3615638416,0.7204231501316062,858586713.3087447,6.460270485794502,1271.5547003407398,312.4389825177995,535.9040208986866,Yes,9223372036326575607,9223372036365264250,0.7362009780653566,1066.0811239009795
1614293.629885924,1077029.7860322825,0.6671833216045038,892421435.6897525,6.270490050511828,768.6476815918815,170.25459061715068,323.0872106901806,Yes,9223372036330308081,9223372036383756962,0.8515948237324896,1124.251109811506
6552913.151252799,1175374.1784828012,0.1793666650775145,3833599069.516818,1.7207976744353706,491.2201087701921,236.85456515102348,261.6380398877494,Yes,9223372036306477048,9223372036351439102,0.1922333809944231,3225.589960444895
2594471.4782574573,1828860.6315359615,0.7049068170000821,1008202212.7464764,5.702359957675259,2372.531236492526,219.7636659509772,230.7298935361889,Yes,9223372036405417417,9223372036501930090,0.1551979680470341,411.6241053520238
6833994.503381248,1227516.373940033,0.1796191631896537,3200552099.09918,2.0805661751367377,532.4107215289806,76.00563922333377,93.94182364399758,Yes,9223372036315813145,9223372036570133338,0.6531753426251925,1214.9017386550636
2894240.466002811,1231118.9979187632,0.42536859406815,1059589971.4645202,5.4836448610804265,2002.2457638705118,175.13204890592232,456.7309765100534,Yes,9223372036463783623,9223372036474259192,0.8479378852307857,944.5935371837356
24673217.14341214,24631184.163605113,0.9982964126825168,1354589002.9649694,4.502337110459039,635.0731297179224,169.16614864418102,298.50310570831476,Yes,9223372036417148615,9223372036518620732,0.4100909211557369,2528.691439669009
10551697.964664277,3177153.6608323087,0.3011035448012273,1071044774.5707996,5.437275576021441,207.15279119324856,109.685686119475,427.4821280818084,Yes,9223372036397955348,9223372036409461211,0.5148237896872596,1663.8047977937088
2446560.830395988,1902049.1375918384,0.7774379095589388,1544639043.1608086,4.039364966484109,1192.4133815907003,41.704076225335584,132.49442760123605,Yes,9223372036474582867,9223372036551351015,0.8208247495804271,901.7569071252384
4588851.168114587,2316258.592994218,0.5047578376672206,1648077659.6116464,3.825098396664832,376.7979682084122,438.95571958701134,323.7763031104021,Yes,9223372036518629647,9223372036559335619,0.5826491278455764,1166.9943429563966
5940452.874537636,2662519.4644855834,0.4482014285304495,1106866131.9305696,5.297433391097405,455.50802879435275,259.9879082260462,124.08609717379979,Yes,689042884731221560,9223372036362427556,0.6687579885731197,1058.3262326104823
12740579.588445991,2347953.731821676,0.1842893971598401,10739301260.828323,0.2552134880637389,471.6937457723574,79.70357401353851,135.0486675228484,Yes,9223372036392571471,9223372036430859410,0.415769743858331,1998.549971615394
34624099.10279427,1356263.6750955638,0.0391710892193613,5164492041.177098,1.2073089985383476,19.32587060686469,23.083637544602947,19.224095110122903,Yes,9223372036403457004,9223372036656866705,0.1978796018785469,3089.7236617507806
82781539.6736584,17553171.172046877,0.2120420958736094,1215553971.7913022,4.9155062999393815,560.1679792144671,160.96658106895094,372.66551243095546,Yes,9223372036363411559,9223372036818057040,0.1302099023675401,3850.798877932139
21572432.862783264,4547059.593934834,0.2107810288648257,1520193781.335124,4.093509401238764,330.35377799072234,198.61829450506954,315.0601053559125,Yes,9223372036327007274,9223372036339922038,0.6041267491202511,2058.879518074429
8788229.857456466,1024947.2319653172,0.1166272672187437,7712832149.800113,0.6417582900141083,121.09981430497756,51.03270923198465,103.61443111856757,Yes,2812556790251156168,9223372036434367783,0.5821453150535107,1551.6204913153515
11736445.781650662,9504224.747608457,0.809804341487082,1257736034.546782,4.7821661106697775,1906.163913615662,93.12285325919507,131.43527798786684,Yes,4326668434417304668,9223372036372029166,0.4914939292143876,1318.3426829584132
7236346.682385362,3639658.442019717,0.5029690535528563,11859624311.065647,0.1501567092684984,1202.0722334625787,154.8028570316162,175.03659710426984,Yes,9223372036409113386,9223372036865220493,0.6655302354452874,1774.4123875443108
2384050.973264058,1377300.0454624973,0.5777141767974888,3004973906.8988404,2.2161821902236354,465.6491624990676,122.91267991015943,237.41778610403458,Yes,1036949458385230400,9223372036798707703,0.7522492370885668,801.2030094184867
3206179.1374287796,2751782.745251443,0.8582747960422,1200156414.8617158,4.966109613294898,1405.2685650279777,112.17584536413845,134.8396418643258,Yes,9223372036623185050,9223372036630890303,0.6777470353109565,975.1335734577629
5420195.347108618,3757748.394747824,0.6932865245811446,1206176721.4309945,4.9461965565964565,850.55667715991,288.04383368909964,181.77066689497278,Yes,9223372036521993284,9223372036689921995,0.8575571075438595,1289.7240384589518
4214431.040218719,1335024.2399951029,0.316774489190792,13637157102.924303,0.0094026295111975,1032.3608117002639,231.3886539548917,103.12320055391883,Yes,9223372036517036845,9223372036544524635,0.8080540623370479,1200.5511996501773
10555319.049073324,1492057.180501177,0.1413559527252914,1212194354.5676618,4.926456508458188,275.4575777830998,144.26519929858512,355.32215404539,Yes,9223372036358241323,9223372036527384656,0.7032723790737522,1136.284085543762
7328407.428361352,4489548.253320496,0.6126226328445782,1219848082.60643,4.901583163226063,1532.2334815475404,316.8461262998412,142.34843769812247,Yes,9223372036396312409,9223372036589031096,0.6813760400393025,1391.8586500215874
6508636.519145266,4448722.301649823,0.6835106382978723,9826776005.481344,0.3531334666509657,789.5173493854593,195.96393182845372,364.7460543499284,Yes,9223372036333631925,9223372036486031901,0.7796085624000821,1269.6680757354022
1405831.3505396154,1316619.1909654129,0.9365413500417676,1235009443.8908403,4.853067621763315,708.9827652126073,278.8556160883874,264.6727245906558,Yes,9223372037009081277,9223372037103180403,0.8411887590857154,934.661494498556
