Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
369,15152073.91628205,149572086.59032756,2192460.1071977234,11827201928.245764,Tr,159.99356178548157,44.52250470859367
370,7985763.313891508,1115176.1352402566,18110250.15780009,11412632326.743088,Tr,540.1871111335497,177.85065298896083
376,45609180.08865616,250637262.46349004,28267320.92353289,7367664104.606943,Tr-ej,190.60174949571248,183.96425137157587
377,733098279.1592522,64136931.05973046,17983015.19189774,9600710862.570717,Tr-ej,45.562320938015745,109.62534655581346
379,733098279.1592522,17983015.19189774,64136931.05973046,13062777884.588804,Tr,65.4035449816417,44.23254435859614
384,8760681.215285648,26658423.419433,9908416.532316688,12913646287.349524,Tr,231.0856337578343,107.51915155291793
387,15951740.348737076,4862562.54844579,5925428.924322826,12674126325.18104,Tr,1142.043662235391,165.9339283211267
402,3222301907.871965,745596900.1877055,1213587269.2465503,6468030796.73721,Tr,868.6098901275938,199.59349095320758
406,12837883.761934178,4808757.494226597,7927348.98994939,7771549037.251255,Tr,380.7196390524773,175.68442603819503
408,383788634.77579254,141320984.25354692,37409210.02493998,8807765739.437933,Tr-ej,994.4678219041143,257.4233786414145
409,74010847.22500655,311536802.05821884,189507321.9684344,8224859038.538102,Tr,1805.4029483078846,255.99246725073226
417,191117559.43522528,45725491.88108349,8356923.203510958,12971008988.278938,Tr,401.67513834188236,104.90834472774502
419,568846800.0660738,1957941640.4703655,1379534818.2140312,8734802975.354248,Tr,160.298683512237,88.75494319756409
423,8871772.894032815,6564060.41110027,10229251.04828655,7984126730.733888,Tr,1409.8165588848378,336.12507904220575
424,8871772.894032815,10229251.04828655,6564060.41110027,8042561874.575475,Tr-ej,1517.5753739894499,200.46921808674165
425,8871772.894032815,6564060.41110027,10229251.04828655,13732745391.586044,Tr,1395.0051364936623,108.58961386992083
430,248568779.16874623,20686332.207391977,219865145.15206495,8659001313.425207,Tr,837.9285361277571,583.2307015384166
431,9032570.71026698,7937644.229935909,8027035.313680912,6815877148.17795,Tr,974.0363283678327,184.9558576064588
435,19924660.924335532,25768062.66473695,19613639.202451944,12094897586.954208,Tr,438.45389188747555,218.49553917060902
438,150747905.36917028,59089423.400133826,424420913.43590325,11636908086.307705,Tr,471.96139141289024,115.33021655099452
439,316754643.8208819,517999674.7974906,264164497.78922305,13130453436.933168,Tr,548.0366765854923,143.25671632233986
441,27130368.10287182,14098472.041509084,113235143.56039712,12238050717.00162,Tr,240.70113685304202,198.10136773312726
442,913195843.6240784,13639787.149364864,373846434.52282506,8835330920.80488,Tr,709.8343780590568,292.2188676293498
443,1798613.926472094,2659920803.9096756,311272171.7220949,7968702523.342946,Tr,105.43607035538426,62.1208217974259
448,17642676.47221219,14030040.646343524,35074533.60261818,7149329569.126153,Tr,1205.9603982347471,302.2647162395959
452,7965030.4275139235,3731733.388326721,5902324.985759981,8161282200.943018,Tr,1349.1331292201548,126.3284534363603
453,121268426310.76454,558619721.6684316,514223806.7803621,7815310591.957469,Tr-ej,0.9897287587355095,0.16556323679130555
456,2521895138.478342,112522286.94339947,231035125.5291609,8433563257.98377,Tr,92.20311783195334,53.089233198444575
458,2521895138.478342,112522286.94339947,231035125.5291609,9184778806.261362,Tr,80.44717923367652,71.44387704175458
459,2521895138.478342,112522286.94339947,231035125.5291609,11936671204.956575,Tr,139.15884889040137,38.923905155864404
461,3796245.492131892,715794665.4846654,4166443.8399906736,13085230938.97637,Tr,0.6617151699583677,0.2819922815314212
462,247152117.63018543,95711935.08679372,124099674.81734131,8982109768.748348,Tr,589.9324399801741,351.1100356612365
465,194469574.7568769,110422057.98615009,182281129.05231944,13329736431.919613,Tr,102.15485591047077,16.29888662385108
467,13347076.818276316,485573218.9227148,12680696.792552002,10470191681.303783,Tr-ej,27.895846377232015,5.253902197901949
468,13347076.818276316,485573218.9227148,12680696.792552002,7865048196.310087,Tr-ej,6.969692668028843,5.359050396170224
470,56634501.44373445,1124240.206527694,59194931.859581865,13026280336.510183,Tr,378.2544043790402,363.2151694546973
474,12884432.353561493,9024154.156954398,22848048.597940303,8766425391.342773,Tr,769.8377818355387,119.55754484023653
475,5140335.37090547,2642781.0043735015,19801651.585102275,13259820704.503653,Tr,244.92241043533198,273.4732951068739
476,134206805.14919482,15211962.597457742,3386935150.929993,12901967289.200457,Tr,28.932545189909607,27.445565066274195
480,30830338.66859016,6543143323.513869,49046773.49584966,7821427596.92726,Tr,0.7871707440330956,1.0611995995346675
482,43220509.48267353,41335175.54090201,4957264.555990733,9513759464.758898,Tr-ej,1028.4214741299259,451.6866920667244
484,979668308.679734,56823760.58654918,83546227.49886382,8408737211.539155,Tr,74.0399873657489,31.544755922399574
487,9971454.847074866,15417015.377327144,9422743.2482393,10006432928.970312,Tr,236.64051887689527,309.78801979155014
489,6350790002.777973,2581421.3740535006,3285842994.4279003,9266174056.75998,Tr,125.1292224944722,184.05295878097567
490,6350790002.777973,2581421.3740535006,3285842994.4279003,10200750351.093628,Tr,815.8384854862456,248.18280721518994
492,120261038.13591851,9639099.49159734,28974497.408124007,13592716071.773268,Tr,147.03539980202225,161.556938213605
495,12659033.84221816,31781760.846654516,12287745.232680405,10951468087.06496,Tr,482.23506098388816,171.28327482613005
496,12287745.232680405,31781760.846654516,12659033.84221816,11965201979.122522,Tr,1284.252069743448,187.83887079025016
498,27890170.16239189,25250744.605828226,57645391.73912838,10525843478.175903,Tr,1151.4701033897238,382.78973492590114
500,18887996.403583687,6882900.443399957,172873409.75429493,11312271705.789476,Tr,216.58757084449653,108.25305841738552
502,11295833.682646858,247398166.9587665,7658650.326466796,12674591027.992476,Tr,23.418815933309407,24.135469069492252
504,120427949.20424254,30781773.53651582,6008628.663744896,12080117817.94324,Tr-ej,443.2195016356655,253.38316835682667
506,108551833.11685535,24120398.256963685,13027894.88589041,10893708717.31539,Tr-ej,424.44925772690914,121.86775515986443
508,122653948.52259852,11809691.089030595,182041143.45815092,11597253614.033346,Tr,781.8683650138296,202.56623682262972
510,370889291.40038246,6576712.906035408,107938846.10140212,10230997390.171503,Tr,185.68501368939337,158.10471661312
511,96973509.01117216,85404908.82553321,88890948.08662307,10183977766.934015,Tr,946.4361275795304,146.28972791491574
512,339105269261.7787,3016434314.3945074,147934788.42418346,9253434980.005806,Tr-ej,1.2996673177545084,0.5837693724391355
513,339105269261.7787,3016434314.3945074,147934788.42418346,12223680190.134518,Tr-ej,1.4982793020274672,1.314330706556248
514,339105269261.7787,3016434314.3945074,147934788.42418346,12234380144.638166,Tr,1.1584265215205898,0.6491757798472209
515,279346053.8021402,7077586.981627745,83765054.59981868,9672959618.497496,Tr,1270.1064588503418,181.55993505300845
522,124416143484.42458,1252976147.418414,527336392.4404352,12229882404.52588,Tr,6.590023163322732,0.739568642811106
526,443393927.3434687,68957659.43300349,101923585.88307278,12415798578.611568,Tr,429.5986052499333,93.83229495558996
527,19186434.08270991,1692168.2451770415,272429090.4404687,13542084126.065742,Tr,94.97812240849122,60.804723392268876
529,257969561.012422,53389694.5369775,55550558.90766489,13557216204.673635,Tr,196.0410729074745,99.8206537719431
