,Mass 1,Mass 2,Mass 3,t_merger,Flag
306,54925539.29748416,10860895.972204177,79771921.51815152,10198674001.801271,No
307,54925539.29748416,10860895.972204177,79771921.51815152,9288765039.744118,No
308,54925539.29748416,10860895.972204177,79771921.51815152,11210820095.137888,No
309,54925539.29748416,10860895.972204177,79771921.51815152,6001502349.509738,No
310,54925539.29748416,10860895.972204177,79771921.51815152,8982856573.146975,No
311,1900050925.0427537,48110721.48182178,119908731.12462287,5506856249.599227,No
312,139091810.67212144,4065938.178785596,40947932.51409879,5408976924.948808,No
313,13401874.803524792,18418113.3342245,26600869.28434537,5919430496.073451,Tr
314,26600869.28434537,13401874.803524792,18418113.3342245,8468746000.063223,No
315,26600869.28434537,13401874.803524792,18418113.3342245,9430012857.357918,No
316,11036281.034883462,20496189.77508926,9505928.787330365,8336260196.554418,Tr-ej
317,9505928.787330365,20496189.77508926,11036281.034883462,6775650904.528621,Tr
318,42403750.44984743,694759715.1508335,42722652.10724868,4822712071.22168,Tr
319,32826176.169075698,9394470.389186675,5887116.431241966,6541082604.379174,Tr-ej
320,32826176.169075698,5887116.431241966,9394470.389186675,7054240686.984049,Tr
321,32826176.169075698,5887116.431241966,9394470.389186675,7040069301.45681,No
322,32826176.169075698,5887116.431241966,9394470.389186675,7021134353.830021,Tr
323,32826176.169075698,5887116.431241966,9394470.389186675,7161261508.0767355,Tr
324,32826176.169075698,5887116.431241966,9394470.389186675,11670123000.719648,No
325,4162238.4895118903,1419361.4259315513,209287318.5783315,6930273703.095812,No
326,231888578.7348479,69166688.30555734,719074941.9493352,11382955882.97898,Tr
327,10379181.770785134,17133551.39052745,9278723.491076186,8372551125.521461,Tr
328,10379181.770785134,9278723.491076186,17133551.39052745,6274235898.871243,No
329,10379181.770785134,9278723.491076186,17133551.39052745,12092730274.292507,Tr
330,10379181.770785134,9278723.491076186,17133551.39052745,8569967968.430934,No
331,4025660.279961242,6739945.711063035,3668669.7182851713,6104479167.381457,Tr
332,160967705.74951735,40066659.9712529,51763330.625728056,12989255771.673088,No
333,15578172.70439658,10220404.242063653,17471093.25877506,12081788408.60809,No
334,47587978.18617928,10508614.160362072,95874670.88023579,7802249602.399565,Tr
335,47587978.18617928,10508614.160362072,95874670.88023579,9114083501.557888,No
336,6102606.454408036,463971675.3813491,44353344.925362766,13111399965.6803,Tr
337,44353344.925362766,6102606.454408036,463971675.3813491,12123467299.174984,No
338,12585545720.157736,1258617.9389308363,13308649630.4055,11429728402.378683,Tr
339,12585545720.157736,1258617.9389308363,13308649630.4055,6978150237.246694,No
340,82287711.64304821,45135610.130683586,264672869.63959172,6676130027.472092,No
341,82287711.64304821,45135610.130683586,264672869.63959172,6608667883.343209,Tr
342,34850369.7707275,16108429.494490637,27763919.189019732,12613361940.507969,Tr
343,34850369.7707275,16108429.494490637,27763919.189019732,10785766824.83535,No
344,34850369.7707275,27763919.189019732,16108429.494490637,10891505777.763618,Tr
345,34850369.7707275,16108429.494490637,27763919.189019732,6485749884.199637,Tr
346,34850369.7707275,16108429.494490637,27763919.189019732,12021388721.38388,Tr
347,46295188.10906022,14763232.137355754,22332434.57875348,8638386306.166294,No
348,46295188.10906022,14763232.137355754,22332434.57875348,8980435591.30078,Tr
349,46295188.10906022,22332434.57875348,14763232.137355754,5298046835.6097,Tr-ej
350,46295188.10906022,14763232.137355754,22332434.57875348,12065813772.06518,No
351,46295188.10906022,14763232.137355754,22332434.57875348,6337644686.658977,No
352,4525076374.106694,367701951.29225093,1538435461.5990605,6536862503.340362,No
353,15775706.43314714,1369310.9392329594,22620417.291755658,8054812848.150854,No
354,661058008.5241789,114624503.94699134,320602293.3787604,10386722355.687048,No
355,661058008.5241789,114624503.94699134,320602293.3787604,7777574929.325448,Tr
356,41992260.43153037,9464634.224736167,17262774.40277201,9395561083.827547,No
357,41992260.43153037,9464634.224736167,17262774.40277201,6638636971.187923,No
358,311935651.2712021,94059016.55654462,243642179.40506452,8403279121.485178,Tr
359,232427318.56153673,9225642.653738787,1252702081.0298083,5822208668.391092,Tr
360,218776259.87180343,29085401.99335808,111701081.8007509,6442166399.464637,No
361,91331891.09908922,32537218.456699666,27135128.531636298,10773066858.322582,Tr-ej
362,67198283.0883428,8440435.350215381,208024909.15101922,10155041985.288515,No
363,67198283.0883428,8440435.350215381,208024909.15101922,6341446799.519601,No
364,317256169.71677524,36904530.26063541,64583673.4734903,7214329817.801544,No
365,317256169.71677524,36904530.26063541,64583673.4734903,11871741577.717276,No
366,317256169.71677524,36904530.26063541,64583673.4734903,7298486680.462671,Tr
367,317256169.71677524,36904530.26063541,64583673.4734903,8598165511.721155,No
368,15152073.91628205,2192460.1071977234,149572086.59032756,5780042783.10022,No
369,15152073.91628205,149572086.59032756,2192460.1071977234,11827201928.245764,Tr
370,7985763.313891508,1115176.1352402566,18110250.15780009,11412632326.743088,Tr
371,195623753.22241423,17250136.108167857,182352130.70739883,8789160797.75503,No
372,7156488.954746818,3172708.957224336,36386360.18186573,9482309906.153402,No
373,3384624.094195737,1134170.4980071057,57134747.8357971,7441997880.556322,No
