M1,M2,M3,qin,qout,t_triple,z_triple,M1_ID,M2_ID,M3_ID,sep_2_ovtks
37420967.792851835,15347320.258870501,8204738.256013711,0.41012622505722984,0.1554861557754461,1985633146.8332815,3.2574586767758187,9.22337203709081e+18,9.223372037238491e+18,9.223372036720252e+18,0.0109437700005694
228745061.55392843,84529861.02063489,42117613.779877335,0.36953742496734215,0.13444297881791933,5529691464.924878,1.1018176652804819,9.22337203650859e+18,9.223372036739678e+18,3.4025088817218365e+18,10.310674082044796
46490287.29021308,26083770.442606136,46539454.85491408,0.561058491202251,0.6412684684966726,3025313047.092299,2.2014137367700366,9.223372036649464e+18,9.223372036820334e+18,9.223372036820334e+18,37.47336540007131
18287821.293313295,5582083.1245301645,2216543.868600666,0.3052349995661419,0.09285935250514593,1972738015.5000665,3.2761646414750767,9.223372036640332e+18,9.22337203710767e+18,9.22337203710767e+18,1.2301784937965767
408267820.4476874,46871249.0417806,1002869.9773349192,0.11480515165359782,0.0022034363660756347,4814316423.187959,1.3201797315110122,9.223372036798252e+18,9.223372037876249e+18,9.223372037499791e+18,11.22150329348419
372886592.8306381,90792555.73178372,18192612.07769223,0.24348570712227488,0.03923534654102111,11258195759.098473,0.20470509008385684,9.22337203758749e+18,9.223372036749056e+18,9.22337203758749e+18,0.3048959999951391
33782047.92870719,25382921.23243116,3307455.8982340787,0.751373075013056,0.05590226691787973,4452058693.398707,1.4515900704213756,9.223372037034738e+18,9.22337203724231e+18,9.22337203724231e+18,3.864684359807725
243715288.86295205,79808012.60577618,10953396.928441657,0.32746412003169184,0.03385659357058834,9469051166.070433,0.3951953566885912,9.223372037153102e+18,9.223372037220762e+18,9.223372037220762e+18,1.1418225714314787
10205749.005982786,2457665.9837228814,6693184.021027721,0.24081191711477082,0.5285449482993916,2713837401.659862,2.4471725991596442,9.223372037174268e+18,9.223372037602933e+18,9.22337203759716e+18,1.4516786005043554
84061133.31192471,61746445.52609147,1856679.0799960825,0.7345421491876587,0.01273376250255651,4003124647.729515,1.6403672028458096,9.223372037514936e+18,9.223372036625456e+18,9.223372037514936e+18,39.63116505552235
7106758.655807678,4235556.9384970665,1564365.2660340683,0.5959899785024708,0.137922918210773,9061243953.967264,0.4460745927447213,9.223372036760224e+18,9.223372036901644e+18,9.223372036901644e+18,4.027583595269559
4931826.221875077,3708066.9777894435,2953299.6426978814,0.7518648895904606,0.34182131357972756,7812878223.865952,0.6255239686874972,9.223372037023375e+18,9.223372036773912e+18,9.223372037023375e+18,3.770412627905136
46082988.97420846,11718890.412714984,3972500.00070107,0.25429970306990646,0.06872613906045018,2245667359.2201295,2.9186186114341854,9.223372036709048e+18,9.223372036941787e+18,9.223372036398468e+18,68.90644058718946
3358563.759292569,2434532.2802932165,1683591.2452434478,0.7248730275128122,0.2906202890024635,2391784451.798399,2.755247125128123,9.22337203673308e+18,9.223372037021022e+18,9.223372037021022e+18,0.3344368098244374
28830228.53504763,5774700.120875192,2738576.4374066684,0.20030018540627054,0.07913833502263112,4471645600.860821,1.4440516931725358,9.223372036969611e+18,9.223372037245002e+18,9.22337203691605e+18,0.0480963382998636
916255285.4651867,40496276.82943934,10019128.750244483,0.044197591513896926,0.010472027582808536,5375134892.871096,1.1450818147565993,9.223372036940149e+18,9.223372037948537e+18,9.223372037948537e+18,99.90051159091227
48407220.528228804,15866175.712564401,1963607.572545704,0.3277646503854109,0.030550860657639192,13315407543.765833,0.032909474446189295,9.223372036691948e+18,9.223372036691948e+18,9.223372036691948e+18,5.259975880886753
245560904.94908345,52242756.98367205,123480966.3949792,0.2127486742830846,0.41463884491407427,2742231683.8526163,2.422885025410216,9.22337203669834e+18,9.223372036773216e+18,9.223372036773216e+18,61.4304974772206
26167518.78112521,10844365.9819903,3543209.7937598187,0.4144208731709178,0.0957316769042476,4237084811.3983655,1.5379731419686065,9.223372036613356e+18,9.223372036903694e+18,9.223372036903694e+18,3.246924532997911
533633837.2567812,92981329.41501853,34962066.98097236,0.17424181699759136,0.05579511770624653,4901326366.047812,1.2909410929973995,9.223372036783516e+18,9.223372037442443e+18,9.223372037442443e+18,8.913606032267213
23473073.526674304,22661529.89097686,6497617.062276939,0.9654266138273191,0.14084042304330163,6735213693.785275,0.8192101118191267,9.223372036910492e+18,9.223372037444192e+18,9.223372037444192e+18,41.63181980541678
40819666.82854566,13932691.472716276,2090700.535137884,0.34132300812835115,0.03818466637791742,3355436935.8330975,1.9824029198932496,9.223372036719478e+18,9.223372036982151e+18,9.223372036982151e+18,38.852223653285336
46466870.63375133,17274723.210496917,31537515.153181285,0.37176429087844315,0.49477136122831805,5280246298.976051,1.1726278811982758,9.223372037813449e+18,9.22337203718186e+18,9.223372037162408e+18,0.0140490097338952
484550610.7289191,28548529.83498925,63952752.76645449,0.05891753968082535,0.12464014789845267,2625981237.3488517,2.5250379102055853,9.223372036444232e+18,9.223372036639888e+18,9.223372036639888e+18,75.25693415825869
473263388.3709326,7686202.773009846,3308364.719419095,0.016240856491070006,0.00687881803070073,4630285740.16217,1.3848855496873935,9.223372036496644e+18,9.22337203720083e+18,9.22337203720083e+18,6.6833130884336365
