Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Slingshot_kick,Flag
89,4614322.133632722,3441208.8160727094,10504410.862381373,4972323091.102176,10103.764400422233,No
91,4614322.133632722,3441208.8160727094,10504410.862381373,6876554302.748765,3707.5609932376524,No
94,38250311.98493745,5066095.892896483,84397679.3465764,5621232323.115467,2338.686703212634,No
97,28685218.3907982,2403718.4317210587,53993208.60515266,3100287470.930618,9868.453859053185,No
98,1755971895.895148,142808468.927461,628817638.0123636,7071646302.65044,776.1092829478123,No
99,1755971895.895148,142808468.927461,628817638.0123636,2924665946.5622396,402.5880074898718,No
101,3790658.6445357744,1200791.3509681355,16787915.333600786,12444238246.123549,3523.7095853876194,No
102,3790658.6445357744,1200791.3509681355,16787915.333600786,10803399042.711395,5015.287675033871,No
103,3790658.6445357744,1200791.3509681355,16787915.333600786,8902794584.202904,21036.05771224095,No
104,3790658.6445357744,1200791.3509681355,16787915.333600786,2882409552.836178,20289.68772672442,No
107,227068515.64311495,9191874.266583009,91395176.46127456,11074769338.306396,293.6784450488073,No
108,227068515.64311495,9191874.266583009,91395176.46127456,8474406213.042637,12765.392873621062,No
109,227068515.64311495,9191874.266583009,91395176.46127456,5353336704.841222,756.2090220494271,No
110,227068515.64311495,9191874.266583009,91395176.46127456,5064779598.508937,3452.1286989286605,No
111,227068515.64311495,9191874.266583009,91395176.46127456,4668921959.353468,1402.7584875581551,No
112,227068515.64311495,9191874.266583009,91395176.46127456,7996016995.88332,1592.4603414367548,No
113,227068515.64311495,9191874.266583009,91395176.46127456,3442830619.6667023,1283.7347903139516,No
116,426603289.67265767,147010346.87506172,148146373.35633257,4134457009.536102,1205.7899236226274,No
117,12922740.288898066,4350186.20473059,12151564.058238056,3050204504.674799,2003.7161879316711,No
118,215897673.67164135,60171204.616924025,1419067479.0795228,11823596992.89499,1500.27760929369,No
119,215897673.67164135,60171204.616924025,1419067479.0795228,6032543417.964211,658.0612914014833,No
120,215897673.67164135,60171204.616924025,1419067479.0795228,4128290316.322923,1107.5947613736557,No
124,215897673.67164135,60171204.616924025,1419067479.0795228,9412874591.71148,424.8955535391247,No
125,12847535.029120332,8239216.65972028,17468537.1991922,4127913110.07132,10578.549275561876,No
126,437098060.6894097,16871271.276663993,61499219.57352967,5699568694.844237,1212.5421997716135,No
127,19734878.51564796,11942052.374429677,14307827.521676289,2931047075.058879,5918.439972498887,No
128,19734878.51564796,11942052.374429677,14307827.521676289,3075626969.502947,6448.556489563465,No
130,133628064.47840716,5666088.278979693,2710118974.0508327,3105939924.4162946,7224.363744984905,No
132,101652647.77963406,57923150.21379912,66349058.62538525,12458881487.044895,2022.8474722479255,No
133,101652647.77963406,57923150.21379912,66349058.62538525,5399589472.385801,2265.5643917089674,No
134,9849876.36167753,4418475.596585985,29769431.938393313,7714402487.543819,6130.761644964627,No
135,16789357.160008434,11605319.92504997,26025088.656124488,4132246380.086331,973.6803053442103,No
138,680254964.1905458,113176496.1933014,13732075.100637129,7550925570.41546,4770.794824896714,Tr-ej
139,4185632788.551631,40005882.554504685,148133593.05841827,12247963127.456425,1019.3145130290154,No
140,207942863.79656577,10814432.489120184,82694491.64453103,5077751102.657615,4924.7047062492,No
141,207942863.79656577,10814432.489120184,82694491.64453103,5703018926.28523,496.3640344709206,No
142,207942863.79656577,10814432.489120184,82694491.64453103,9238567565.954887,1804.7160615155958,No
143,8879994.711303208,8657501.610124221,67265121.97922006,3383098738.721097,2836.0817192146883,No
144,8879994.711303208,8657501.610124221,67265121.97922006,3510283102.5314584,2496.334438659404,No
145,8879994.711303208,8657501.610124221,67265121.97922006,6848816900.706517,3628.8706980301754,No
147,60020864.971317045,33880143.76087201,88204930.09524561,13364775537.961197,1052.9688893195932,No
148,71126513.39173533,40646601.489941694,372410781.0571191,10573843001.125685,413.63921201160105,No
149,71126513.39173533,40646601.489941694,372410781.0571191,8903350580.327175,1280.4552120440185,No
152,40976415.06348799,11066346.361342013,204170939.31330773,8447339983.280018,7030.158378195642,No
153,40976415.06348799,11066346.361342013,204170939.31330773,6624462056.524332,2758.7503699909003,No
154,573151657.658643,20486533.549998417,1213857075.535852,11745174309.82913,3099.513380574926,No
155,573151657.658643,20486533.549998417,1213857075.535852,5380957992.856064,1492.750150593176,No
156,573151657.658643,20486533.549998417,1213857075.535852,7354960145.22243,1783.2969227056035,No
157,573151657.658643,20486533.549998417,1213857075.535852,10086368243.923565,997.1503244432935,No
158,573151657.658643,20486533.549998417,1213857075.535852,10997645701.749945,2061.6520842434134,No
159,573151657.658643,20486533.549998417,1213857075.535852,10857962117.304264,2126.1855129766195,No
160,31596907.8524639,10200296.573345158,47568694.8469455,4375799070.480264,2958.8528906831834,No
162,31596907.8524639,10200296.573345158,47568694.8469455,6592240527.849415,3585.8147575261128,No
163,31596907.8524639,10200296.573345158,47568694.8469455,3909034754.1667466,797.0361156779696,No
165,6905676.40192971,3842055.75998914,7218766.672587696,3733098573.1986504,3026.565578005741,No
166,6905676.40192971,3842055.75998914,7218766.672587696,11502975168.028164,1560.4729563450323,No
167,6905676.40192971,3842055.75998914,7218766.672587696,10656352646.36556,4058.497557978688,No
168,16095563.264248887,6968059.828502226,26097652.347615663,6085631745.7959,2966.3648324199708,No
169,3413668811.0666666,96029312.48499858,786297888.9454379,3639563537.240707,391.0027038181261,No
170,5740772.308441472,18124166.48219566,3295527.620180735,10401486695.74594,2756.777779909695,Tr-ej
171,7888590.5378805185,12197771.93536375,6336698.911204918,5433662556.973107,4058.3619192485003,Tr-ej
172,7888590.5378805185,12197771.93536375,6336698.911204918,8866067835.773878,2251.411227241207,Tr-ej
173,12034824.328792134,5442063.856873082,7718859.729974154,6701418943.790066,3689.697264260937,No
174,231706360.67314097,13576922.283957608,91159734.97303116,9499577692.940376,11571.259443873147,No
175,45950891.45698072,57079082.538214855,31224539.857591152,3897705719.788806,1167.9764717058204,Tr-ej
176,45950891.45698072,31224539.857591152,57079082.538214855,9111056369.839828,1106.0459294104205,No
177,22065415.837039076,8456325.520622164,194523234.4211148,10802394179.20118,4843.210204496262,No
178,16124131.121448178,98160924.17379344,13840650.831584653,4724876962.589499,1980.9766116549515,Tr-ej
179,17216665.05318165,13609710.848273298,76247541.36331876,10559667692.552376,1983.3304244763635,No
180,17216665.05318165,13609710.848273298,76247541.36331876,10549175069.556557,4021.02549690209,No
184,5956213.552819271,3904778.622086309,8247893.061970987,4576896804.050213,19309.09006634178,No
187,151773484.40898797,37871430.79950708,99213026.69876042,11371685047.19327,779.1199076650893,No
188,151773484.40898797,37871430.79950708,99213026.69876042,8628762346.55714,983.8770134341744,No
190,17093248.76434597,5120241.755060057,21571580.842922308,7232881771.715838,3957.7273209677096,No
191,17093248.76434597,5120241.755060057,21571580.842922308,4377962415.703656,1611.843337288433,No
193,17093248.76434597,5120241.755060057,21571580.842922308,7827461493.951583,2974.656990958285,No
194,207614203.0078588,22071432.4946815,21942635.4923674,6785098363.539475,2411.32970453555,Tr-ej
195,207614203.0078588,21942635.4923674,22071432.4946815,8903741234.148092,4893.640611738986,No
196,110430256.53033058,71478644.19825377,471913920.5185341,8991860297.444454,944.1615305082696,No
199,4568473.639018658,2755588.4339637,4513518.412075311,3580806493.8256793,6285.3705708641655,No
201,7581642141.9745,127238657.98840225,164674138.62572202,7289513131.115853,2215.5720336134295,No
202,7581642141.9745,127238657.98840225,164674138.62572202,8892858775.763065,380.57507043310926,No
204,4086356.832570336,3477476.461487282,815476729.1168807,8798224455.10179,1333.837327740367,No
205,4086356.832570336,3477476.461487282,815476729.1168807,5643232280.537422,5356.533302795555,No
206,20025960.51280752,9981710.878017625,12032323.87869766,11980229022.512735,376.94478887896577,No
208,20025960.51280752,9981710.878017625,12032323.87869766,7464629045.397588,1688.1529310515414,No
209,20025960.51280752,9981710.878017625,12032323.87869766,8673980750.48691,2123.8817977065505,No
210,20025960.51280752,12032323.87869766,9981710.878017625,5232152142.9013815,1317.5340764228729,Tr-ej
211,20025960.51280752,9981710.878017625,12032323.87869766,10367044521.849283,3052.4624056322655,No
212,20025960.51280752,9981710.878017625,12032323.87869766,7072992801.965215,12423.094059758876,No
213,40991948.08586112,16533587.40510626,134242971.26198876,12790495309.788685,884.7078644952213,No
215,28186373.55037191,9779313.5600482,16006471.11779657,5961686211.645894,516.6083362384344,No
216,49629538.70264744,6274970.07227886,19947914.994565897,5504114948.557439,1158.0944691609168,No
217,49629538.70264744,6274970.07227886,19947914.994565897,13228119070.578417,11484.32712456248,No
220,48111234.31093969,3937879.593684337,100500002.6987302,6914839918.285015,1846.659962228338,No
221,48111234.31093969,3937879.593684337,100500002.6987302,13483296364.87399,2443.027852569368,No
222,185406858.54046515,35992300.996174894,65849774.98686671,8393502891.181776,1731.5124928860364,No
223,17148153.044327695,3787057.877964612,54952156.95865545,5541240307.329563,8143.156160765431,No
224,17148153.044327695,54952156.95865545,3787057.877964612,13111933265.585669,835.748593310968,Tr-ej
225,27724900.594517138,21583367.117665496,50613529.82337179,8594415208.628765,4536.273379457154,No
226,99185992.71821225,3788648.315038393,300771531.1150757,9011729777.013622,14221.258489557105,No
227,7282714.716329088,1892776.3214384643,136995847.43272838,8046160112.563302,8537.998892485914,No
229,9310933.268935269,7052494.996722685,29012412.29193643,11457055567.17948,4027.9223531318576,No
230,9310933.268935269,7052494.996722685,29012412.29193643,7364045912.500279,1296.887509706249,No
232,9310933.268935269,7052494.996722685,29012412.29193643,8763608389.472456,3896.2132870591436,No
233,9310933.268935269,7052494.996722685,29012412.29193643,8912303790.478783,684.7483480900274,No
234,9310933.268935269,7052494.996722685,29012412.29193643,11708071326.934282,1274.8449686713864,No
235,2722010721.8092003,2446447227.747861,2808186460.046541,9777297179.692137,403.6929742139157,No
236,2722010721.8092003,2808186460.046541,2446447227.747861,5558492063.479108,245.81185857752274,Tr-ej
239,28198239.412041135,5743338.079706119,11335414.23343102,4421483694.442963,2847.1608350502574,No
240,3993160.990579489,2466143.086866895,10006575.65762644,8017135163.902667,6618.077862780706,No
241,26284030.841036633,8185099.198218738,17447236.70266837,10839162108.460869,3405.699146227221,No
242,13985684.381910738,7161411.5356145315,11374408.342400648,5689481743.631447,12800.505212090644,No
243,8995999.650819143,1635707.7290578792,420281516.94477254,7338289927.131163,5218.468682876452,No
244,19684163.87538701,4138615.472924904,12192333.208584668,11014002161.808533,1544.8420420989398,No
245,19684163.87538701,4138615.472924904,12192333.208584668,5386556865.323103,1606.739112444148,No
246,19684163.87538701,4138615.472924904,12192333.208584668,9735852038.503967,7923.440739019914,No
247,106029094.46944334,15165669.518345956,23420605.94450083,5277689560.291824,1326.6740915587566,No
248,4410301.518168851,3104135.558748623,10492922.79458952,10901744703.058985,6395.26570080145,No
249,4410301.518168851,3104135.558748623,10492922.79458952,12469840662.985971,2400.6615772335776,No
250,322894106.5948291,59112143.92975923,416052658.3682415,7568816599.155553,4148.767100303195,No
251,995631491.1251464,9875634.405328872,997154344.1010252,13511619356.126858,2991.5722173972363,No
252,995631491.1251464,9875634.405328872,997154344.1010252,4422972307.597783,6301.329846321825,No
253,335721070.7301129,1236543.5243668086,2386266224.902536,4178172656.8386807,7002.2994946476865,No
254,335721070.7301129,1236543.5243668086,2386266224.902536,4708120521.945219,3562.727956153967,No
255,335721070.7301129,1236543.5243668086,2386266224.902536,6101948310.067214,8987.756407206107,No
256,335721070.7301129,1236543.5243668086,2386266224.902536,4459775738.581624,4176.7753216926085,No
259,52226374.20092477,3911679.9829600262,96432743.88916013,4884599953.473137,3685.7869676421687,No
260,52226374.20092477,3911679.9829600262,96432743.88916013,6425455590.782285,7807.59716639833,No
261,52226374.20092477,3911679.9829600262,96432743.88916013,4421163119.1372795,7671.910215235358,No
262,52226374.20092477,3911679.9829600262,96432743.88916013,10869615816.454405,7761.403351936547,No
265,121695527.7411373,6514728.461151079,291044304.3691937,9527938927.31092,1628.769564355307,No
266,121695527.7411373,6514728.461151079,291044304.3691937,13346002554.170025,3384.4132616857682,No
267,7969930.212306496,6233022.294457935,11159514.733137242,4625133606.19263,2519.33399809909,No
268,7969930.212306496,6233022.294457935,11159514.733137242,7629057250.000406,3355.9699166968676,No
269,7969930.212306496,6233022.294457935,11159514.733137242,4496737108.86226,1308.2533806592753,No
270,4516937980.932333,190179353.163355,915144592.41808,12020713287.295202,150.30696917645108,No
273,57742552.84621479,16440007.223711573,439656448.58284736,13053476703.11926,486.10690747473006,No
274,10795220.893947989,10612702.586708518,49567249.434121296,6916742090.9461775,1242.7521663623957,No
275,56205789.32491686,4933819.809483506,119645030.97765791,10235835245.26144,1159.3605019882293,No
277,32201113.058982477,10000668.31992383,328631160.5351424,13725514383.10839,908.7756804576628,No
278,8345492.329035743,5114490.620998624,14117046.07447786,12058469796.236736,914.5591821671447,No
279,3006579.8733251495,1339332.6204253228,5193714.267736252,6204843357.332344,5732.796911758233,No
281,31499874.293103337,24162431.236770723,14215241.363452712,6409450613.787072,3040.5372842724983,Tr-ej
282,5141504.522200097,2595678.506393807,19709491.436809175,7380074383.480862,5081.441663379409,No
283,5141504.522200097,2595678.506393807,19709491.436809175,5298532131.343342,5863.965116922069,No
285,5427503.568823906,4269599.326215437,14690810.449174734,10875177613.005907,4437.106999747148,No
286,388621530.728238,51196879.42150437,131199840.32528436,13108583540.953768,1317.1249248785723,No
287,75277298.36849311,22269385.109042943,64342693.85615072,6554202591.532668,277.62465087558064,No
288,725272766.0454909,2822713.398675789,505614146.0854348,12750137669.397566,22337.396786516,No
289,725272766.0454909,2822713.398675789,505614146.0854348,5287050805.1431675,2256.385945503064,No
291,179296976.778708,57488762.08802316,370573258.22366345,5918129749.926577,749.7678618867113,No
293,179296976.778708,57488762.08802316,370573258.22366345,11129379516.75959,1167.6888417563675,No
294,179296976.778708,57488762.08802316,370573258.22366345,7434228992.254179,386.59989499433846,No
295,1079713058.0373971,99003287.80965573,21891372.297399975,6355240237.373641,3448.6460287556806,Tr-ej
296,1079713058.0373971,21891372.297399975,99003287.80965573,10873792022.761808,1973.5953202892556,No
297,1079713058.0373971,21891372.297399975,99003287.80965573,13743643813.772545,2717.738533354721,No
298,1079713058.0373971,21891372.297399975,99003287.80965573,8249349874.025745,2886.435966648333,No
299,291602140.1331167,4834687.29866159,151290326.64324978,4645614444.715268,1796.6901610031564,No
302,20685344.13749531,2896526.7192963683,75468937.21371776,7698320756.686954,8235.801016320273,No
303,9056116.01274515,4475631.9289249275,26692504.21387113,9204276500.219524,2574.538292504008,No
305,54925539.29748416,10860895.972204177,79771921.51815152,7903842476.590598,2164.6581618403497,No
306,54925539.29748416,10860895.972204177,79771921.51815152,10198674001.801271,2313.249020605093,No
307,54925539.29748416,10860895.972204177,79771921.51815152,9288765039.744118,3958.982745222542,No
308,54925539.29748416,10860895.972204177,79771921.51815152,11210820095.137888,8492.231037059502,No
309,54925539.29748416,10860895.972204177,79771921.51815152,6001502349.509738,829.9643886926877,No
310,54925539.29748416,10860895.972204177,79771921.51815152,8982856573.146975,1931.9540833769627,No
311,1900050925.0427537,48110721.48182178,119908731.12462288,5506856249.599227,367.92393524783165,No
312,139091810.67212144,4065938.178785596,40947932.51409879,5408976924.948808,6220.810542750543,No
314,26600869.28434537,13401874.803524792,18418113.3342245,8468746000.063223,7002.518811524263,No
315,26600869.28434537,13401874.803524792,18418113.3342245,9430012857.357918,786.702297984895,No
316,11036281.034883462,20496189.77508926,9505928.787330365,8336260196.554418,1471.4617889832562,Tr-ej
319,32826176.169075698,9394470.389186677,5887116.431241966,6541082604.379174,889.9462574246196,Tr-ej
321,32826176.169075698,5887116.431241966,9394470.389186677,7040069301.45681,9774.74646967045,No
324,32826176.169075698,5887116.431241966,9394470.389186677,11670123000.719648,3447.146632447197,No
325,4162238.4895118903,1419361.4259315513,209287318.5783315,6930273703.095812,6832.580952465853,No
328,10379181.770785134,9278723.491076186,17133551.39052745,6274235898.871243,1353.3539931045625,No
330,10379181.770785134,9278723.491076186,17133551.39052745,8569967968.430934,3041.913931575394,No
332,160967705.74951735,40066659.9712529,51763330.625728056,12989255771.673088,1349.1356350982041,No
333,15578172.70439658,10220404.242063653,17471093.25877506,12081788408.60809,1976.0134592093164,No
335,47587978.18617928,10508614.160362072,95874670.8802358,9114083501.557888,1177.4159433706661,No
337,44353344.925362766,6102606.454408036,463971675.3813491,12123467299.174984,5832.732439403697,No
339,12585545720.157736,1258617.9389308365,13308649630.4055,6978150237.246694,11418.698196639254,No
340,82287711.64304821,45135610.130683586,264672869.63959172,6676130027.472092,1094.811260923825,No
343,34850369.7707275,16108429.494490637,27763919.189019732,10785766824.83535,2564.3408134180145,No
347,46295188.10906022,14763232.137355754,22332434.57875348,8638386306.166294,10519.968494474568,No
349,46295188.10906022,22332434.57875348,14763232.137355754,5298046835.6097,1618.064622319391,Tr-ej
350,46295188.10906022,14763232.137355754,22332434.57875348,12065813772.06518,9651.415339909028,No
351,46295188.10906022,14763232.137355754,22332434.57875348,6337644686.658977,2177.298948114805,No
352,4525076374.106694,367701951.29225093,1538435461.5990603,6536862503.340362,1255.8574961332026,No
353,15775706.43314714,1369310.9392329594,22620417.291755658,8054812848.150854,25838.69366327693,No
354,661058008.5241789,114624503.94699134,320602293.3787604,10386722355.687048,2767.524083880621,No
356,41992260.43153037,9464634.224736167,17262774.40277201,9395561083.827547,5749.399431849273,No
357,41992260.43153037,9464634.224736167,17262774.40277201,6638636971.187923,728.5829124875447,No
360,218776259.87180343,29085401.99335808,111701081.8007509,6442166399.464637,3970.149376764332,No
361,91331891.09908922,32537218.456699666,27135128.531636298,10773066858.322582,3129.3059831017226,Tr-ej
362,67198283.0883428,8440435.350215381,208024909.1510192,10155041985.288515,2141.388852019859,No
363,67198283.0883428,8440435.350215381,208024909.1510192,6341446799.519601,1862.3017029810208,No
364,317256169.71677524,36904530.26063541,64583673.4734903,7214329817.801544,581.7745459862762,No
365,317256169.71677524,36904530.26063541,64583673.4734903,11871741577.717276,536.8414753273287,No
367,317256169.71677524,36904530.26063541,64583673.4734903,8598165511.721155,1999.1967526557326,No
368,15152073.91628205,2192460.1071977234,149572086.59032756,5780042783.10022,4823.454661595113,No
371,195623753.22241423,17250136.108167857,182352130.70739883,8789160797.75503,6761.014812746241,No
372,7156488.954746818,3172708.957224336,36386360.18186573,9482309906.153402,1554.8367891162504,No
373,3384624.094195737,1134170.4980071057,57134747.8357971,7441997880.556322,9006.636546704438,No
374,3384624.094195737,1134170.4980071057,57134747.8357971,8508348584.307757,6582.835219281475,No
375,45609180.08865616,28267320.92353289,250637262.46349004,7151463946.448393,520.1379681433064,No
376,45609180.08865616,250637262.46349004,28267320.92353289,7367664104.606943,2416.7764243632964,Tr-ej
377,733098279.1592522,64136931.05973046,17983015.19189774,9600710862.570717,2227.1109990709065,Tr-ej
378,733098279.1592522,17983015.19189774,64136931.05973046,11215878747.064472,3380.33845091984,No
380,733098279.1592522,17983015.19189774,64136931.05973046,12456821567.46506,2751.28569557972,No
381,2447590.6117438287,1162444.7770928368,11326595.827870158,9824426873.078283,1805.8554536420402,No
382,11946536.960370077,8851052.121870749,450062451.1512888,11945403203.660252,5130.876062943199,No
383,2982506.410856335,2009730.247685302,3674165.24638832,5996997463.418948,17364.50482040742,No
385,34031453.45360768,4517693.309393981,206742619.26028472,7350244288.912704,947.4587157890323,No
386,33999659.26980705,6067162.428192386,149897274.17059135,10495686148.123371,1749.4927657442067,No
388,34134648.46461043,21809862.39736887,23922303.63929208,7902979149.857515,1100.1381737467261,No
389,46517484.544161685,12512735.277296104,52318705.57175938,9160542011.737846,525.5544907076486,No
390,468826567.03601825,18182387.839360755,84778248.21780215,8728093629.197477,6054.457083197568,No
391,468826567.03601825,18182387.839360755,84778248.21780215,6557746983.857932,1834.8181581553358,No
392,118241119.92695063,35854557.78532079,43498169.96124176,7095332627.223002,646.6850464382809,No
393,118241119.92695063,35854557.78532079,43498169.96124176,9085290441.235449,1568.3068364639553,No
394,105937057.56340526,10876303.331356412,191725769.2109852,11731049796.153896,3042.8831535126237,No
395,65975003.789666645,7990767.668266338,13318632.46310966,10533066210.144016,425.5985561572813,No
396,65975003.789666645,7990767.668266338,13318632.46310966,9724763007.284245,5099.27819421427,No
397,35832602.90165966,3919561.166673844,495516290.7000383,12989034762.502382,2803.4915013896134,No
398,47980351.83214915,15612269.928795578,72809073.21113212,6875202329.016719,1469.556868787724,No
399,47980351.83214915,15612269.928795578,72809073.21113212,10470809357.041664,1310.5076107595016,No
400,41289059.65830286,2036938.0819117385,71402104.41407812,8448948717.548417,10285.75760401577,No
401,41289059.65830286,2036938.0819117385,71402104.41407812,8761634182.573046,8823.058707271495,No
403,3222301907.871965,745596900.1877055,1213587269.2465503,8346198799.034019,174.77258574448894,No
404,221602645.5298812,66300919.50324141,343970358.0985026,12317803211.803196,501.2396658280956,No
405,46484271.88517616,10004261.00367085,102635732.48351946,6133685713.7975855,2428.4212906001335,No
407,12837883.761934178,4808757.494226597,7927348.98994939,13527440256.904083,4057.542209502243,No
408,383788634.77579254,141320984.25354692,37409210.02493998,8807765739.437933,4532.964207579351,Tr-ej
410,189507321.9684344,74010847.22500655,311536802.05821884,6230100588.353629,677.6787340028793,No
411,26309360.582312275,13134383.168178542,94135272.33409992,8290020010.164427,1781.2258740613204,No
412,1416624886.3752885,4941786.195183334,1522999701.7847922,8164116959.9603405,7135.9551120484775,No
413,7829562.666882152,7341429.131902919,183432775.8977078,10140905195.618923,531.6986360533735,No
414,356745859.9120542,6204011.018192454,269748067.9446694,8613599194.334028,6103.304106302509,No
415,356745859.9120542,6204011.018192454,269748067.9446694,12516192475.526678,7425.796523098955,No
416,12959363.26958144,8098178.972070502,250638682.4965917,7992084554.705783,1556.2343702325015,No
418,191117559.43522528,8356923.203510958,45725491.88108349,12856040781.802464,1834.238505524564,No
