M1,M2,M3,qin,qout,t_triple_form,z_form,t_form1,t_form2,t_merge_bin,a_2nd_ovtks,bin_merger_flag,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape,Phi_DM,Phi_star,M_halo,M_star,rhalf,sigma,rbulge
21199775.877715692,3473441.2656964464,24631184.163605113,0.16384330125619775,0.9982964126825168,1352693476.329283,4.507493609231093,1021141696.8030634,1060988297.2950387,1425607071.7232192,0.006985901545852712,Yes,9223372036337899864,9223372036518620732,9223372036417148615,9223372036518620732,0.3816188586436807,3429.773746221932,29.544795906977487,61.72888862944504,1827916996553.5403,53901431912.725624,9.969121425595421,4.41258074484385,0.8152923375634124
239126772.95762494,129614642.56498918,12875042.522835419,0.5420331691088303,0.03491618240003697,5596502614.534191,1.0836996652322584,1135090984.7607858,2290863792.799516,11702537526.852747,0.21635825575312698,Yes,9223372036342602658,9223372036486077725,9223372036486077725,9223372036893973198,0.59583725015055,1390.6619383799637,6.808231144483459,8.197521251370294,491192550557.15753,7974955845.9628725,11.625158656273301,0.6576205210443975,0.809391527475106
212213535.24995366,147740715.44003025,6859143.289610381,0.6961889366105478,0.019055597416789288,11001141784.563446,0.22930085880560816,1244582216.943688,7367242588.440431,81306027938.06003,0.05661099108437465,No,9223372036798549652,9223372036831413043,9223372036831413043,9223372039019874757,0.8453727250643649,851.1316425956252,4.569942083744379,1.0509870824504841,274683538763.4664,2800006080.757488,9.685082993570365,0.08111697589123443,2.303843354547337
82395024.90491791,51137219.78972575,4296125.544553112,0.6206347998406093,0.032172944852213975,13038324703.116219,0.05379881027409074,1246229827.3339248,5903696308.831903,100541315551.39056,0.07253710531222833,No,9175344300051172004,9223372036970140153,9223372036970140153,9223372040703864032,0.8740407482074649,827.3012702112943,4.539673413971558,0.7709073918986394,242179947513.66367,3074454778.6360435,8.595971740773699,0.06187927116603246,3.3161078245398836
46252446.34538654,8973634.99856534,2419779.006100027,0.1940142783271488,0.043815873717881135,3438073890.99657,1.9329917663806508,1324272800.5406044,1745254609.1236794,38333199961.421074,0.1694301110980994,No,9223372036604300802,9223372036858472384,9223372036849763822,9223372036858472384,0.8110562610725129,498.69198944902644,1.3218525340430363,0.6078013746096298,45605234124.443756,2061212025.265294,5.55921013813175,0.049387764345226466,2.7855375926847024
37420967.792851835,15347320.258870501,8204738.256013711,0.41012622505722984,0.1554861557754461,1641963702.608172,3.837139572937856,1335148374.53504,1352007768.3689477,1927716061.669944,0.01668003353234172,Yes,9223372037090809465,9223372037238493626,9223372036720251710,9223372037238493626,0.47661363683472396,2192.8830435875666,19.592974185418537,17.718772304591074,2049667798908.7236,49770647151.90368,16.85638806404722,1.4088602136692503,2.3578224941196018
228745061.55392843,84529861.0206349,42117613.779877335,0.3695374249673422,0.13444297881791933,5529607433.186268,1.1018406655542783,1383456618.195847,5511766980.444574,989887543442.1604,6.7648332652295915,No,9223372036508590288,9223372036739677941,3402508881721836572,9223372036739677941,0.6522966717304185,1012.9316655030037,5.64753242161487,2.313601599144493,442268055525.01575,6382211374.164565,12.618514994649084,0.18917216725311872,2.251747389328717
11107253.253423043,5444368.572073397,6537747.197727833,0.4901633597303228,0.3949913347861151,6313269590.840338,0.9085377717398155,1735900857.1824887,1743275802.0566614,64445056389.927795,0.30011944656964534,No,4136506141736857071,9223372036820333678,9223372036649465243,9223372036820333678,0.675995873495412,1274.71933700838,9.107348183007195,3.5005817635177974,987533056177.1989,16479534520.344301,17.47193922992028,0.26956599413920745,4.080238592421788
46490287.29021308,26083770.44260614,46539454.854914084,0.561058491202251,0.6412684684966727,4260747663.688616,1.5281229070521083,1743275802.0566614,2775390679.8045325,11378973306.579037,0.7597934532236754,Yes,9223372036649465243,9223372036820333678,9223372036820333678,9223372037717883857,0.675995873495412,1257.043637562147,8.770084621073842,3.4906176828739994,987533056177.1989,16479534520.344301,18.14384249119628,0.2687986995905067,4.091885764949532
18287821.293313295,5582083.1245301645,2216543.868600666,0.3052349995661419,0.09285935250514593,1977642490.8044264,3.2690263397852077,1765154027.68252,1963864424.9916115,5804156876.234037,0.8968001219777044,Yes,9223372036640332808,9223372037107667060,9223372037107667060,9223372037118998295,0.5770201928987679,1059.6060787373149,5.646665265360778,3.065046969463553,545152253550.689,7016992789.100517,15.556331069148483,0.2620847951879758,1.7869603972524637
