M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape
2260508.0934258495,1628522.3615638416,0.7204231501316062,858586713.3087447,6.460270485794502,857200298.7665588,Yes,9223372036326575607,9223372036365264250,0.7362009780653566,1066.0811239009795
1614293.629885924,1077029.7860322823,0.6671833216045038,892421435.6897525,6.270490050511828,891102830.8441231,Yes,9223372036330308081,9223372036383756962,0.8515948237324896,1124.251109811506
6552913.151252799,1175374.1784828012,0.17936666507751456,3833599069.516818,1.7207976744353706,903275457.5081275,Yes,9223372036306477048,9223372036351439102,0.19223338099442316,3225.589960444895
7037527.847831942,6261749.564103072,0.8897655113410506,165389448748.64447,0,974006437.5659779,No,9223372036312285311,9223372036346956171,0.6267825159222967,1620.4050297724832
11787893.580921214,3305567.254208966,0.28042052055500816,14842197171.986977,0,982239419.3248206,No,9223372036300488336,9223372036365264250,0.648387264393484,1295.7117525140955
2594471.4782574573,1828860.6315359618,0.7049068170000821,1008202212.7464763,5.702359957675259,1007460760.9814786,Yes,9223372036405417417,9223372036501930090,0.15519796804703417,411.6241053520238
6833994.503381248,1227516.373940033,0.17961916318965374,3200552099.09918,2.0805661751367377,1032879223.8072,Yes,9223372036315813145,9223372036570133338,0.6531753426251925,1214.9017386550636
4488824.036438685,1787665.4712588761,0.3982480615740872,22344880995.986614,0,1040344029.328463,No,9223372036324669802,9223372036469460192,0.7053857705099585,913.3220829533162
2894240.466002811,1231118.9979187632,0.42536859406815003,1059589971.4645202,5.4836448610804265,1051687754.1524984,Yes,9223372036463783623,9223372036474259192,0.8479378852307857,944.5935371837356
5387932.195040525,1418763.591995783,0.2633224659548842,203378285127.10687,0,1058813386.4475318,No,9223372036312969829,9223372036414685152,0.5457613184915688,1295.564786441394
24673217.14341214,24631184.163605113,0.9982964126825168,1354589002.9649694,4.502337110459039,1060988297.2950387,Yes,9223372036417148615,9223372036518620732,0.4100909211557369,2528.691439669009
10551697.964664275,3177153.6608323087,0.3011035448012273,1071044774.5707995,5.437275576021441,1067583950.2734302,Yes,9223372036397955348,9223372036409461211,0.5148237896872596,1663.8047977937088
2446560.830395988,1902049.1375918384,0.7774379095589388,1544639043.1608086,4.039364966484109,1088892120.5732815,Yes,9223372036474582867,9223372036551351015,0.8208247495804271,901.7569071252385
4588851.168114587,2316258.592994218,0.5047578376672206,1648077659.6116464,3.8250983966648318,1092446272.0416596,Yes,9223372036518629647,9223372036559335619,0.5826491278455764,1166.9943429563966
5940452.874537636,2662519.4644855834,0.4482014285304495,1106866131.9305696,5.297433391097405,1092812352.3814287,Yes,689042884731221560,9223372036362427556,0.6687579885731197,1058.3262326104823
12740579.588445993,2347953.731821676,0.1842893971598401,10739301260.828323,0.25521348806373895,1097847339.3212824,Yes,9223372036392571471,9223372036430859410,0.41576974385833104,1998.549971615394
34624099.10279427,1356263.6750955638,0.039171089219361355,5164492041.177098,1.2073089985383476,1108034456.8551664,Yes,9223372036403457004,9223372036656866705,0.19787960187854697,3089.7236617507806
82781539.6736584,17553171.172046877,0.21204209587360942,1215553971.7913022,4.9155062999393815,1118368034.546786,Yes,9223372036363411559,9223372036818057040,0.13020990236754013,3850.798877932139
21572432.862783264,4547059.593934834,0.21078102886482572,1520193781.335124,4.093509401238764,1120676796.3884935,Yes,9223372036327007274,9223372036339922038,0.6041267491202511,2058.879518074429
29244303.69742585,1103641.2063560528,0.03773867272665472,13855822827.381124,0,1144358453.1684985,No,9223372036346159609,9223372036627034888,0.45875676787932623,1952.604509731517
8788229.857456466,1024947.2319653173,0.11662726721874371,7712832149.800113,0.6417582900141083,1147970239.0358343,Yes,2812556790251156168,9223372036434367783,0.5821453150535107,1551.6204913153515
2771975.615956032,1692750.458748694,0.610665710407008,242292575527.28076,0,1149182072.363165,No,9223372036651817921,9223372036711246912,0.87013862425365,961.2263479144758
11736445.781650662,9504224.747608457,0.809804341487082,1257736034.546782,4.7821661106697775,1172103115.1702776,Yes,4326668434417304668,9223372036372029166,0.4914939292143876,1318.3426829584132
7236346.682385362,3639658.4420197164,0.5029690535528563,11859624311.065647,0.15015670926849842,1175282407.8783998,Yes,9223372036409113386,9223372036865220493,0.6655302354452874,1774.4123875443108
2384050.973264058,1377300.0454624973,0.5777141767974888,3004973906.8988404,2.2161821902236354,1185073193.9953277,Yes,1036949458385230400,9223372036798707703,0.7522492370885668,801.2030094184867
3206179.1374287796,2751782.745251443,0.8582747960422,1200156414.8617158,4.966109613294898,1196397667.3639762,Yes,9223372036623185050,9223372036630890303,0.6777470353109565,975.1335734577629
5420195.347108618,3757748.3947478244,0.6932865245811446,1206176721.4309943,4.9461965565964565,1203901841.5293126,Yes,9223372036521993284,9223372036689921995,0.8575571075438595,1289.7240384589518
4214431.040218719,1335024.2399951029,0.316774489190792,13637157102.924305,0.009402629511197559,1205899045.9556499,Yes,9223372036517036845,9223372036544524635,0.8080540623370479,1200.5511996501773
10555319.049073325,1492057.180501177,0.14135595272529142,1212194354.5676618,4.926456508458188,1208232272.6404042,Yes,9223372036358241323,9223372036527384656,0.7032723790737522,1136.2840855437619
7328407.428361352,4489548.253320496,0.6126226328445782,1219848082.60643,4.901583163226063,1208934686.4347537,Yes,9223372036396312409,9223372036589031096,0.6813760400393025,1391.8586500215874
6617283.25174781,1412117.837080348,0.21339842702174916,55144717109.40175,0,1213595562.2746375,No,9092849091142575963,9223372036879315900,0.793879924495777,1028.0174634154328
6508636.519145266,4448722.301649823,0.6835106382978723,9826776005.481344,0.3531334666509657,1215738690.0268428,Yes,9223372036333631925,9223372036486031901,0.7796085624000821,1269.6680757354022
2484802.3218217697,1171591.2103001692,0.47150278314340904,1994081437962.5542,0,1225658288.277228,No,9223372036709080373,9223372036896364923,0.8389341229498066,1136.4104966003026
1405831.3505396154,1316619.1909654129,0.9365413500417676,1235009443.8908403,4.853067621763315,1226277083.8292522,Yes,9223372037009081277,9223372037103180403,0.8411887590857154,934.6614944985561
2601585.844096416,1249880.475256952,0.4804302260842986,1233920182.453366,4.856520227871416,1230894052.8683722,Yes,9223372036792315906,9223372036908505259,0.6955646786938959,943.261315456061
40723425.28073764,22144990.20934379,0.5437899699419064,1593404953.942498,3.935480240699897,1249232243.7225122,Yes,9223372036439537773,9223372036457337876,0.1847720143859362,4629.947248726823
32758033.603996687,1246253.7107154946,0.038044216138890696,2500251279.9234457,2.6442222405162803,1257684168.6487079,Yes,9223372036378797302,9223372036738509884,0.3652412858276315,1519.0611808988854
2236026.7227544617,2183826.305940065,0.9766548331989104,10377611355.193787,0.2925364540618969,1262316926.9285457,Yes,9223372036422437285,9223372036726288122,0.8460264434305944,902.9777537578561
5090776.068202094,1092728.2519703442,0.2146486581477669,1284299659.9675174,4.701941078843837,1270160091.0356574,Yes,9223372036599575642,9223372036618797190,0.8151712092207388,1019.6444400505236
16305246.082370818,7078367.99983363,0.43411598721510497,8320100040.1378145,0.5477817880723364,1272543569.720708,Yes,9223372036366619496,9223372036551553059,0.5333303976558124,1272.3625858035093
31654667.884062346,9249967.820769018,0.29221496983155015,1527260715.643763,4.0777092241805,1274763589.6300113,Yes,9223372036326647026,9223372036355389392,0.3917948990237079,1686.5873258636607
17185524.60204559,3470319.4946552753,0.20193270645006695,10694602047.500443,0.2597275975784625,1277688886.5687573,Yes,6062277597694999902,9223372036732078221,0.6817279440137504,1311.7381734626738
2032379.7756556405,1353199.2436623354,0.6658200695909783,20495702000.922718,0,1287966451.3205104,No,9223372036445043372,9223372036489029465,0.7130094992330609,996.0514893853258
12660873.130453825,1430172.1379339455,0.11295999282181271,447045150500.3505,0,1288749640.1606958,No,9223372036360327581,9223372036962256206,0.6664213742541575,1187.9552636881876
3144208.892875453,3000146.5347192893,0.9541816835126322,28935531456183.29,0,1292104732.211739,No,3473569917711524016,9223372036361916685,0.8088629711573025,1060.1341749615858
21683195.444707174,1342270.6689125097,0.061903729657159706,458798295430.7383,0,1299199288.2990353,No,9223372036443218027,9223372036732078221,0.6817705537770843,1390.4310185348802
9694324.578918124,2019329.6714520412,0.208300192036421,12267074979.326815,0.11537784559447586,1300272281.0585706,Yes,9223372036368417269,9223372036879292579,0.6409371356330051,1141.9841948318683
3953641.961111973,3076672.1185638993,0.7781868335135174,24786144146.489067,0,1308999506.530326,No,9223372036517919266,9223372036609614868,0.7156310590610002,1028.1645971755818
5890510.310354765,3229410.8789707692,0.5482395766787603,1348731483.0297756,4.518310426925408,1310984586.2838418,Yes,9223372036635439627,9223372036720655070,0.7898520502575312,944.0838413561394
1907090.255102478,1383485.709653017,0.7254432274253717,1387678570.1008248,4.4142084968567055,1317634430.66408,Yes,7578907306025071715,9223372037019826063,0.8180179870708351,1045.5886319892572
32695552.147526793,6843806.932113225,0.20931920345718688,1847603668.928734,3.468797324868137,1319090176.4313838,Yes,9223372036372029166,9223372036551564909,0.5405646852586294,1757.3376793079653
3078873.1698713615,2273387.793657258,0.7383830603688825,3324255907.8988566,2.0015649399426705,1319456972.2506714,Yes,9223372036405826850,9223372036609628743,0.6838657929790637,316.66990431196996
29571337.320721705,1143211.8487649208,0.03865945717523674,2366628920.1755886,2.782186964903471,1319712637.142696,Yes,9223372036448996524,9223372036586668669,0.5219896701324404,1382.85522529267
2050115.989094482,1200179.3167013507,0.5854202021181539,1324979750.1137364,4.584278123815639,1320546437.213836,Yes,9223372036690119712,9223372037059596005,0.8064429188960418,729.048151148012
4150302.3453509784,2337303.4835597607,0.5631646297234044,3519660276.315907,1.8860671809141905,1326320946.2852564,Yes,9223372036393532456,9223372036656729814,0.7149567049194128,1139.6393537113074
34489763.97138399,2171259.012991006,0.06295372200263505,4768859958.311117,1.3357916804646497,1328303265.063892,Yes,9223372036382532997,9223372036642232974,0.3842553490229249,1367.6733142226976
4307088.200097376,1402487.1725853744,0.32562304448598633,1342326204.2319195,4.535909643854997,1332861712.362009,Yes,9223372036332239677,9223372037068223169,0.8544557411952203,848.7156575662092
8678021.088442175,2949891.5632540686,0.3399267567098774,8609585235.21672,0.5065130257962578,1333452778.9658687,Yes,9223372036496566526,9223372036908395197,0.7657454335138114,1315.285715213167
11414538.477851542,8702758.06507185,0.7624275026062983,1352463004.2202518,4.5081213621831235,1336074547.3343332,Yes,9223372036380700417,9223372036477036134,0.6027020451171216,1533.510460219317
5714667.6113850465,1256442.448219393,0.21986273457379138,1445958186.6861403,4.267169045973189,1344844273.146656,Yes,9223372036858430444,9223372037011002161,0.616012858803731,1419.8517628757745
343037396.35075885,31878181.09425239,0.09292917166866746,2235112986.1014547,2.931097535080023,1348234215.5602221,Yes,9223372036527384656,9223372037833907028,0.14421044523248608,2967.7638216861465
6381855.963835436,1525186.552761239,0.2389879310037916,152122966809.67877,0,1348861040.0790548,No,9223372036532726092,9223372036541211471,0.7866436553503361,999.7584648145197
