logv,outcome
1.4530880171618321, 0.8231707317073162
1.5124076489174425, 1.2804878048780477
1.5760024758567563, 1.9664634146341449
1.6422713847582557, 3.1554878048780477
1.709314077723899, 4.070121951219511
1.7832859435260782, 4.984756097560975
1.8582708598236304, 7.179878048780488
1.9364087969211072, 7.6829268292682915
2.013088667713894, 9.283536585365853
2.100206609768352, 11.661585365853659
2.1859436616404704, 10.335365853658537
2.280542034927905, 9.375
2.3736409471186093, 8.506097560975608
2.4763620630861434, 6.2195121951219505
2.5744235485201727, 4.527439024390242
2.6826747995329687, 2.926829268292682
2.7987695903312657, 2.2865853658536572
2.9130241843451405, 0.9146341463414629
3.035513163428304, 0.640243902439023
3.1631526490117112, 0.2743902439024364
3.288410361541078, 0.09146341463414487
3.426683854139016, 0.04573170731707066
3.5707715720474082, 0.04573170731707066
3.7209179960797916, 0.04573170731707066
3.8682626640154116, 0.04573170731707066
