M1,M2,M3,qin,qout,Mbin,t_binary_form,t_triple_form
14967006.887433719,2326369.2286775294,24673217.14341214,0.15543316350250003,1.0017064944798364,24631184.163605113,1021141696.8030634,1060988297.2950387
4488824.036438685,1787665.4712588761,1775027.1766547377,0.3982480615740872,0.01485635571867304,119479313.11470254,1040344029.328463,2350903879.4496703
3151110.2537491736,2226924.3105732794,57587170.38196325,0.7067110101665587,8.659723808934036,6650000.814408412,1040344029.328463,1390165096.4486618
2446560.830395988,1902049.1375918384,1202653.0143643182,0.7774379095589388,0.008533343677769473,140935729.27308598,1088892120.5732815,1931499086.2822337
4588851.168114587,2316258.592994218,6026563.681817968,0.5047578376672206,0.12895458896096992,46733999.389831714,1092446272.0416596,1877799758.6743758
5940452.874537636,2662519.4644855834,3329125.6033643214,0.4482014285304495,0.044049784298104536,75576433.71950799,1092812352.3814287,2296377494.908115
11268843.081628552,4004550.1478039236,12875042.522835419,0.35536479821362404,0.03491618240003697,368741415.5226141,1135090984.7607858,2290863792.799516
11736445.781650662,9504224.747608457,6843806.932113225,0.809804341487082,0.20931920345718688,32695552.147526793,1172103115.1702776,1319090176.4313838
2384050.973264058,1377300.0454624973,29420813.811953317,0.5777141767974888,3.0156251137132752,9756124.41949926,1185073193.9953277,2959160326.931135
3206179.1374287796,2751782.745251443,3644600.157213245,0.8582747960422,0.02949109657433272,123583066.7749834,1196397667.3639762,2555738763.0388594
18043366.598715268,3157258.997079052,3975624.073524564,0.1749817019903512,0.10597424522302637,37515002.49100835,1197819700.2475162,1377547364.229724
10555319.049073325,1492057.180501177,343037396.35075885,0.14135595272529142,10.760883606769152,31878181.09425239,1208232272.6404042,1348234215.5602221
7328407.428361352,4489548.253320496,1417533.843329807,0.6126226328445782,0.009590899483099864,147799885.27954498,1208934686.4347537,2312267478.8299103
1719418.6803965282,1016566.1965997412,359954250.6899839,0.5912266792200391,52.47801882710491,6859143.289610381,1244582216.943688,7367242588.440431
3054008.390262545,1179983.6059305575,133532244.69464365,0.3863720904280546,31.082016414521195,4296125.544553112,1246229827.3339248,5903696308.831903
