M1,M2,M3,qin,qout,t_merger,z_merger,t_form,a_triple_int,merger_flag,Slingshot_kick,gw_kick_random,gw_kick_cold,gw_kick_5deg
21199775.877715692,3473441.2656964464,24631184.163605113,0.1638433012561977,0.9982964126825168,1384707026.115617,4.421979820816895,1352693476.329283,0.0069859015458527,Tr-ej,8596.59108953354,670.7492153574393,69.71417206188214,212.4244868695441
239126772.95762497,129614642.56498918,12875042.52283542,0.5420331691088303,0.0349161824000369,11507214093.050354,0.1816291287190356,5596502614.534191,0.21942281861613944,Tr-ej,803.6212106053796,1084.2054753143752,616.4212104189199,96.23812208641756
212213535.2499537,147740715.44003025,6859143.289610381,0.6961889366105478,0.0190555974167892,11288874708.856216,0.20182309681971508,11001141784.563446,0.0566109910843746,Tr-13,0.0,43.65893960269946,17.847058712699386,9.99892498556006
82395024.90491791,51137219.78972575,4296125.544553112,0.6206347998406093,0.0321729448522139,104058350244.99152,0.0,13038324703.11622,0.0734827681308936,No,851.4912126980106,0.0,0.0,0.0
46252446.34538654,8973634.99856534,2419779.006100027,0.1940142783271488,0.0438158737178811,40135099002.46583,0.0,3438073890.99657,0.17245257520103216,No,270.385086622065,0.0,0.0,0.0
37420967.792851835,15347320.2588705,8204738.256013711,0.4101262250572298,0.1554861557754461,1894786776.5548706,3.3936968067714477,1641963702.608172,0.01778623911032887,Tr-ej,985.6369821069001,401.4428714743274,223.3342581572219,197.47800441868628
228745061.55392843,84529861.0206349,42117613.779877335,0.3695374249673422,0.1344429788179193,1037791273161.8701,0.0,5529607433.186268,1.1793154836777795,No,289.61804856207993,0.0,0.0,0.0
11107253.253423044,5444368.572073397,6537747.197727833,0.4901633597303228,0.3949913347861151,67105650733.32637,0.0,6313269590.840338,0.28737126415949377,No,159.72707819416976,0.0,0.0,0.0
46490287.29021308,26083770.44260614,46539454.85491408,0.561058491202251,0.6412684684966727,10919655342.284206,0.23726966598974863,4260747663.688616,0.6276397906764289,Tr-ej,441.73177487070876,884.4569084947998,281.5715403703846,95.43589204114217
18287821.293313295,5582083.1245301645,2216543.868600666,0.3052349995661419,0.0928593525051459,10481907004.115902,0.28158439336036245,1977642490.8044264,0.2909181178230244,Tr-ej,155.03012038499017,1099.857254303483,104.70303420612723,151.31038974699445
60199795.06941427,3935005.940663878,3107373.234220245,0.0653657697028131,0.0484506568240845,8231130208.222439,0.5608976505555682,8146277781.326389,0.1505043754636676,Tr-ej,202.6445792079292,258.3183763145649,23.763508987691335,29.7846470672628
33782047.92870719,25382921.23243116,3307455.8982340787,0.751373075013056,0.0559022669178797,44604299319.7355,0.0,4054479914.722598,0.2837907305645499,No,291.73716802228995,0.0,0.0,0.0
84061133.31192471,61746445.52609147,1856679.0799960825,0.7345421491876587,0.0127337625025565,3330215714.2133527,1.9978798310207908,2472644915.076664,0.9482105162658374,Tr-ej,253.18206117031258,1938.7770238371945,97.21784945239355,68.64203977256882
15187787.783087786,14031239.325129788,22381709.727378607,0.9238501041444716,0.7659977741382076,9875657143.924143,0.34755891269133843,7995775224.481062,0.0063495025139391,Tr-ej,2111.325294464069,303.7771587823859,210.32793572872134,150.73052299818312
7106758.655807678,4235556.9384970665,1564365.2660340683,0.5959899785024708,0.137922918210773,440828897445.5392,0.0,9075394169.456907,0.266885772137102,No,126.14050359332647,0.0,0.0,0.0
620606130.9596993,164575611.9678903,78214145.20570883,0.265185282190803,0.0996127914463261,169087204162.9687,0.0,6263700801.132547,0.0307989291447635,No,2623.3598430748007,0.0,0.0,0.0
4931826.221875077,3708066.977789443,2953299.6426978814,0.7518648895904606,0.3418213135797275,808672411162.0237,0.0,7895597201.020212,0.2669287557683188,No,108.52137841532081,0.0,0.0,0.0
46082988.97420846,11718890.412714984,3972500.00070107,0.2542997030699064,0.0687261390604501,3219994152.873515,2.0678227913637666,2249181640.9495406,0.4043619664864664,Tr-ej,195.56351069449548,731.9082245217888,458.1510813029886,224.87113715466393
14053044.707368158,10849365.778640378,3322494.048779902,0.7720295497922911,0.133420579933282,24278651845.129147,0.0,6701675090.605282,0.012735553913749092,No,877.9751664981686,0.0,0.0,0.0
273583517.98362607,53816473.85243913,3025920.135513122,0.1967094883824837,0.009242273093972,52836040806.82953,0.0,12139918104.365969,0.7982623987310157,No,310.4613205489947,0.0,0.0,0.0
45026998.506065734,13286802.813980406,5405895.613775621,0.2950852434054758,0.0927035365797234,42616956222.667175,0.0,13617836472.787018,0.20300309512325126,No,287.45794651768114,0.0,0.0,0.0
916255285.4651868,40496276.82943934,10019128.750244483,0.0441975915138969,0.0104720275828085,5554768108.667506,1.0949771861040005,5375134892.871086,0.40290791221111305,Tr-ej,405.67028586083325,28.301391454290254,12.027230647480442,34.94462858182297
48407220.52822879,15866175.712564409,1963607.572545704,0.3277646503854112,0.0305508606576392,2043182877161.4053,0.0,8342074323.745085,0.48286467436785524,No,204.50722133963254,0.0,0.0,0.0
50020749.3870999,8194075.625765512,6679281.896963169,0.1638135319075951,0.1147350678368792,13560200875.49083,0.01495400909684286,12914826164.525415,0.0920739898512095,Tr-13,0.0,102.67337203115875,74.64219421819715,128.73860277641103
9537330.418890968,6193370.270577097,4399972.5652722865,0.6493819547564006,0.2797060761710463,4951298280.910303,1.2745189841565834,4706990554.838355,0.3029575295632716,Tr-12,0.0,404.5112654006488,664.0606264080712,251.7252808320076
245560904.94908345,52242756.98367205,123480966.3949792,0.2127486742830846,0.4146388449140742,3671119811.637891,1.8034737725858372,2563405600.083315,0.7988040177958015,Tr-ej,1256.705470682919,318.3735611802403,543.2578394360951,258.6895629223454
26167518.78112521,10844365.9819903,3543209.7937598187,0.4144208731709178,0.0957316769042476,4526867097.003427,1.4230803895984188,4464764325.416541,0.0431931702977228,Tr-12,0.0,852.8883482021103,128.87100678011046,244.9626183224161
16316328.697269617,13948410.786957812,1435270.0567686488,0.8548743437175268,0.0474238364918569,1329361619863.779,0.0,9328636432.40259,0.44587102325051375,No,168.03840838486434,0.0,0.0,0.0
