M1,M2,M3,qin,qout,t_triple_form,z_form,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
21199775.877715692,3473441.2656964464,24631184.163605113,0.16384330125619775,0.9982964126825168,1352693476.329283,4.507493609231093,1021141696.8030634,1060988297.2950387,0.006985901545852712,Yes,9223372036337899864,9223372036518620732,9223372036417148615,9223372036518620732,0.3816188586436807,3429.773746221932
239126772.95762494,129614642.56498918,12875042.522835419,0.5420331691088303,0.03491618240003697,5596502614.534191,1.0836996652322584,1135090984.7607858,2290863792.799516,0.21635825575312698,Yes,9223372036342602658,9223372036486077725,9223372036486077725,9223372036893973198,0.59583725015055,1390.6619383799637
212213535.24995366,147740715.44003025,6859143.289610381,0.6961889366105478,0.019055597416789288,11001141784.563446,0.22930085880560816,1244582216.943688,7367242588.440431,0.05661099108437465,No,9223372036798549652,9223372036831413043,9223372036831413043,9223372039019874757,0.8453727250643649,851.1316425956252
82395024.90491791,51137219.78972575,4296125.544553112,0.6206347998406093,0.032172944852213975,13038324703.116219,0.05379881027409074,1246229827.3339248,5903696308.831903,0.07253710531222833,No,9175344300051172004,9223372036970140153,9223372036970140153,9223372040703864032,0.8740407482074649,827.3012702112943
46252446.34538654,8973634.99856534,2419779.006100027,0.1940142783271488,0.043815873717881135,3438073890.99657,1.9329917663806508,1324272800.5406044,1745254609.1236794,0.1694301110980994,No,9223372036604300802,9223372036858472384,9223372036849763822,9223372036858472384,0.8110562610725129,498.69198944902644
37420967.792851835,15347320.258870501,8204738.256013711,0.41012622505722984,0.1554861557754461,1641963702.608172,3.837139572937856,1335148374.53504,1352007768.3689477,0.01668003353234172,Yes,9223372037090809465,9223372037238493626,9223372036720251710,9223372037238493626,0.47661363683472396,2192.8830435875666
228745061.55392843,84529861.0206349,42117613.779877335,0.3695374249673422,0.13444297881791933,5529607433.186268,1.1018406655542783,1383456618.195847,5511766980.444574,6.7648332652295915,No,9223372036508590288,9223372036739677941,3402508881721836572,9223372036739677941,0.6522966717304185,1012.9316655030037
11107253.253423043,5444368.572073397,6537747.197727833,0.4901633597303228,0.3949913347861151,6313269590.840338,0.9085377717398155,1735900857.1824887,1743275802.0566614,0.30011944656964534,No,4136506141736857071,9223372036820333678,9223372036649465243,9223372036820333678,0.675995873495412,1274.71933700838
46490287.29021308,26083770.44260614,46539454.854914084,0.561058491202251,0.6412684684966727,4260747663.688616,1.5281229070521083,1743275802.0566614,2775390679.8045325,0.7597934532236754,Yes,9223372036649465243,9223372036820333678,9223372036820333678,9223372037717883857,0.675995873495412,1257.043637562147
18287821.293313295,5582083.1245301645,2216543.868600666,0.3052349995661419,0.09285935250514593,1977642490.8044264,3.2690263397852077,1765154027.68252,1963864424.9916115,0.8968001219777044,Yes,9223372036640332808,9223372037107667060,9223372037107667060,9223372037118998295,0.5770201928987679,1059.6060787373149
60199795.06941427,3935005.940663878,3107373.234220245,0.06536576970281312,0.04845065682408451,8146277781.326389,0.5736054094251852,1767189274.1740272,2266455389.1671896,0.31188782238519386,No,9223372036624522302,9223372036995455122,9223372036995455122,9223372037236343862,0.5329520464176207,1214.7699768854081
33782047.92870719,25382921.23243116,3307455.8982340787,0.751373075013056,0.05590226691787972,4054479914.722598,1.617077754527757,1774214620.284013,2284629291.6091557,0.2774449124970141,No,9223372037034738108,9223372037242310598,9223372037242310598,9223372038404387147,0.7510015373619159,1116.0603295510305
84061133.31192471,61746445.52609147,1856679.0799960825,0.7345421491876587,0.01273376250255651,2472644915.076664,2.6717189226535765,1789906188.1735508,1948609481.4146008,1.5120098914498783,Yes,9223372036625457278,9223372037514935971,9223372037514935971,9223372037703750230,0.4230033196817762,1715.8354479614895
15187787.783087786,14031239.325129787,22381709.727378607,0.9238501041444717,0.7659977741382076,7995775224.481062,0.5966398333562163,1803849265.4964175,4158301747.7985096,0.006349502513939194,Yes,9223372037655674272,9223372037937046141,9223372037937046141,9223372040079916769,0.8734322610932246,893.6577809943659
7106758.655807678,4235556.9384970665,1564365.2660340685,0.5959899785024708,0.13792291821077302,9075394169.456907,0.444253143787887,1805333761.2109184,2798778206.075063,0.9213819400398735,No,9223372036760225193,9223372036901643573,9223372036901643573,9223372040700063837,0.6259380987950797,839.022814334749
620606130.9596993,164575611.9678903,78214145.20570883,0.265185282190803,0.09961279144632612,6263700801.132547,0.9196387216347987,1806425903.76021,4836504653.026859,0.029571742222496596,Yes,9223372037308166069,9223372037701790777,9223372037701790777,9223372044104899727,0.7675080021348409,1077.5965795188313
4931826.221875077,3708066.9777894435,2953299.6426978814,0.7518648895904606,0.34182131357972756,7895597201.020212,0.612335932067241,1812946174.6960282,1969268258.3509607,1.6230390044830925,No,9223372036773911505,9223372037023377264,9223372037023377264,9223372037857933032,0.7436760448938081,986.0506667613096
46082988.97420846,11718890.412714984,3972500.0007010694,0.25429970306990646,0.06872613906045018,2249181640.9495406,2.9144849209730626,1814101175.1082363,2222430819.5582223,5.496421670727943,Yes,9223372036709049487,9223372036941786747,9223372036398468862,9223372036941786747,0.4625139961968193,1295.1125968259214
14053044.707368158,10849365.778640378,3322494.048779902,0.7720295497922911,0.13342057993328202,6701675090.605282,0.8259918220688938,1820088671.4879017,2422365436.0735455,0.012055879918171596,Yes,9223372036771082617,9223372037031005568,9223372037031005568,9223372038558725667,0.8764931043338139,959.8395587237286
273583517.98362607,53816473.85243913,3025920.135513122,0.19670948838248375,0.009242273093972015,12139918104.365969,0.12605455010265704,1828471492.0000997,3559582790.380239,2.4814710278543357,No,9223372037213276812,9223372037370768501,9223372037370768501,9223372038820460038,0.6618843988269448,1451.6909760567291
45026998.506065734,13286802.813980406,5405895.613775621,0.29508524340547587,0.09270353657972341,13617836472.787018,0.010792238419783738,1842963278.7351947,2514945237.178984,0.19547545318142914,No,9223372036511920744,9223372036635414389,9223372036635414389,9223372037401203290,0.7465424838068512,1406.0011002066574
916255285.4651867,40496276.82943934,10019128.750244483,0.044197591513896926,0.010472027582808536,5375134892.871086,1.145081814756602,1872101746.490564,4269863272.524695,99.90051159091229,Yes,9223372036940147456,9223372037948537677,9223372037948537677,9223372041520821975,0.44309567114534837,2024.2770263855514
48407220.52822879,15866175.712564409,1963607.5725457042,0.3277646503854112,0.0305508606576392,8342074323.745085,0.544574550482988,1883527949.0060024,2392651011.6549263,4.260580463518271,No,9223372036691948285,9223372036691948442,9223372036691948442,9223372037300073384,0.6908972885164534,1008.4352247534501
50020749.3870999,8194075.625765512,6679281.896963169,0.16381353190759518,0.11473506783687927,12914826164.525415,0.06331078039394329,1890792142.1106384,3404634430.606479,0.0920739898512095,No,9223372037487871627,9223372037593618098,9223372037593618098,9223372039033098969,0.4670067283067175,1149.9140013866127
9537330.418890968,6193370.270577097,4399972.5652722865,0.6493819547564006,0.27970607617104637,4706990554.838355,1.3574257253161015,1894651595.1857915,2269518639.0781193,1.4994011331100354,No,1141562243142820635,9223372037455001409,9223372037455001409,9223372038013868724,0.833507473181234,924.1305576668759
245560904.94908345,52242756.98367205,123480966.3949792,0.2127486742830846,0.41463884491407427,2563405600.083315,2.5831555064094065,1913435372.0758922,2338198883.5611053,1.3839307914112038,Yes,9223372036698341371,9223372036773217188,9223372036773217188,9223372037117914745,0.20375498265169992,2416.479628897127
26167518.78112521,10844365.9819903,3543209.7937598187,0.4144208731709178,0.0957316769042476,4464764325.416541,1.4466940442106737,1934844766.748254,4185367993.6225777,0.04319317029772288,Yes,9223372036613355638,9223372036903693803,9223372036903693803,9223372038529334552,0.779301495086075,997.0624881636917
16316328.697269615,13948410.786957812,1435270.0567686488,0.8548743437175268,0.04742383649185696,9328636432.40259,0.41234529055109637,1941654362.4749207,2856815442.5520797,2.4038255541387974,No,9223372036726690893,9223372037353466665,9223372037353466665,9223372039425737729,0.5737067861420185,895.0312615727204
221837435.62402123,72142077.1661561,1878050.578174991,0.325202448194656,0.006388372306458703,2961721215.5608974,2.2481383533659027,1945130968.2649443,2174079023.347137,0.04539334569743667,Yes,9223372036817778456,9223372037393915510,9223372037393915510,9223372039357048360,0.4971717170570993,2378.3005053220454
52784358.88256306,18119881.926098123,2064898.5336820194,0.3432812732728653,0.029122355872256735,10171680328.47468,0.31463444152509207,1948182413.4041917,3606621891.97494,1.1324956773794477,No,9223372036451155678,9223372036872991649,9223372036872991649,9223372040420187749,0.7377699509491606,939.362546284069
533633837.2567812,92981329.41501853,34962066.98097236,0.17424181699759136,0.05579511770624654,2647496254.299439,2.5055779015125923,1956653742.3439193,2425877716.1975713,7.220020886136444,No,9223372036783515532,9223372037442445899,9223372037442445899,9223372038007242864,0.5717630201461623,899.952333779998
23473073.526674304,22661529.89097686,6497617.062276939,0.9654266138273191,0.1408404230433016,4231978981.7786117,1.5401101759090456,1957773197.4002714,2748194873.4747314,13.064506189449308,No,9223372036910490870,9223372037444191263,9223372037444191263,9223372037516818696,0.5443366978061579,1284.6109196016737
72802694.00569883,7225543.487289423,73951347.83805,0.09924829823912593,0.9240656817480117,5714496480.805315,1.0525172743014997,1963864424.9916115,4202192815.1177893,0.4751395183030411,No,9223372037107667060,9223372037118998295,9223372036567030454,9223372037118998295,0.6574064302352985,992.3790905228996
